"","seccion","titular","enlace_noticia"
"1","Fútbol","Manuel Pellegrini alza la voz y responde fuerte a las críticas del arquero de Getafe","https://www.latercera.com/el-deportivo/noticia/manuel-pellegrini-alza-la-voz-y-responde-fuerte-a-las-criticas-del-arquero-de-getafe/DMOQY42ALVGCRLSLXI2JQPHVV4/"
"2","Tenis","Con un millonario cheque en disputa: arranca el Santiago Open con los chilenos como protagonistas","https://www.latercera.com/el-deportivo/noticia/con-un-millonario-cheque-en-disputa-arranca-el-santiago-open-con-los-chilenos-como-protagonistas/FC3LLYWSWNCXLCWJSOOYSOSALM/"
"3","Fútbol","La prensa argentina destroza a Gonzalo Tapia tras su primera titularidad con River Plate: “Realmente muy malo”","https://www.latercera.com/el-deportivo/noticia/la-prensa-argentina-destroza-a-gonzalo-tapia-tras-su-primera-titularidad-con-river-plate-realmente-muy-malo/VLOFWQREGRA27H2VR2G23PN66A/"
"4","Tenis","¿Por qué no apeló? Revelan el motivo que llevó a Jannik Sinner a aceptar la sanción por dopaje que molestó al tenis","https://www.latercera.com/el-deportivo/noticia/por-que-no-apelo-revelan-el-motivo-que-llevo-a-jannik-sinner-a-aceptar-la-sancion-por-dopaje-que-molesto-al-tenis/Y5EEGIQ4YJFAZJGREUWM7HEEGA/"
"5","Fútbol","Colo Colo va por su segunda victoria en la Liga de Primera: el plan de Almirón para enfrentar a O’Higgins","https://www.latercera.com/el-deportivo/noticia/colo-colo-va-por-su-segunda-victoria-en-la-liga-de-primera-el-plan-de-almiron-para-enfrentar-a-ohiggins/SDSLWOCXSVD2JHJ2FUE7LUIGNA/"
"6","Guerra en Ucrania","Macron se reunirá con Trump y le presentará “propuestas” para la paz en Ucrania","https://www.latercera.com/mundo/noticia/macron-se-reunira-con-trump-y-le-presentara-propuestas-para-la-paz-en-ucrania/SLXQAUU3ABCBXDVNLMDRURPH7A/"
"7","Guerra en Ucrania","Yurii Diudin, embajador de Ucrania: “No podemos aceptar que se haga alguna negociación sin que Ucrania participe en ella”","https://www.latercera.com/mundo/noticia/yurii-diudinembajador-de-ucrania-no-podemos-aceptar-que-se-haga-alguna-negociacion-sin-que-ucrania-participe-en-ella/S5IBXEMDDBBK7FM5CA3NVUNVKM/"
"8","Columna","Columna de Janet Awad: “Hagámonos cargo”","https://www.latercera.com/pulso/noticia/columna-de-janet-awad-hagamonos-cargo/VLXVUA5SAFAGPDWYENEO6TIBKQ/"
"9","Mercado inmobiliario","Sólo dos proyectos de reconversión de oficinas en viviendas se han aprobado en Santiago Centro","https://www.latercera.com/pulso/noticia/solo-dos-proyectos-de-reconversion-de-oficinas-en-viviendas-se-han-aprobado-en-santiago-centro/BNZNGAWC4FCXJCCQ4MIQLAD4LE/"
"10","Gabriel Boric","Boric vuelve de sus vacaciones y retoma labores enfocado en seguridad, turismo y otro viaje a UruguayExclusivo suscriptor","https://www.latercera.com/politica/noticia/boric-vuelve-de-sus-vacaciones-y-retoma-labores-enfocado-en-seguridad-turismo-y-otro-viaje-a-uruguay/6YMOPOYJHNCWVF22UNRXNOYWDY/"
"11","Política","El regreso de Matthei tras sus vacaciones: asiste a homenaje a Ronald Ojeda y retoma coordinaciones con jefes de bancada de Chile Vamos Exclusivo suscriptor","https://www.latercera.com/politica/noticia/el-regreso-de-matthei-tras-sus-vacaciones-asiste-a-homenaje-a-ronald-ojeda-y-retoma-coordinaciones-con-jefes-de-bancada-de-chile-vamos/WRRNYLIFLRAL7HALBCEU5H6LDQ/"
"12","Reforma previsional","Cecilia Cifuentes: “La sostenibilidad fiscal de la reforma de pensiones me genera preocupación”","https://www.latercera.com/pulso/noticia/cecilia-cifuentes-la-sostenibilidad-fiscal-de-la-reforma-de-pensiones-me-genera-preocupacion/EVVJQEY7TBCHVJMZWH37KNWIQU/"
"13","Política","Se le apareció marzo al Congreso: los proyectos que se toman el inicio del año legislativo (y el rol de Elizalde para destrabarlos)Exclusivo suscriptor","https://www.latercera.com/politica/noticia/se-le-aparecio-marzo-al-congreso-los-proyectos-que-se-toman-el-inicio-del-ano-legislativo-y-el-rol-de-elizalde-para-destrabarlos/3WC3UEG44ZAMHOPAC4DKGKTE7A/"
"14","Guerra en Ucrania","Estados Unidos insta a votar no a la propuesta europea en la reunión de la ONU sobre Ucrania","https://www.latercera.com/mundo/noticia/estados-unidos-insta-a-votar-no-a-la-propuesta-europea-en-la-reunion-de-la-onu-sobre-ucrania/M5TK5FOF6NGWHAK7VGXNLS45VY/"
"15","Cartel de Sinaloa","Cómo “El Mayo” Zambada exige al gobierno de México que reclame a EEUU su repatriación","https://www.latercera.com/tendencias/noticia/como-el-mayo-zambada-exige-al-gobierno-de-mexico-que-reclame-a-eeuu-su-repatriacion/ZFXRBOOYC5AQVGEQ574Y4VPAYA/"
