"","seccion","titular","enlace_noticia"
"1","Fútbol","Álvaro Brun, el as bajo la manga que tiene la Universidad de Chile ante la negativa de Ojeda","https://www.latercera.com/el-deportivo/noticia/alvaro-brun-el-as-bajo-la-manga-que-tiene-la-universidad-de-chile-ante-la-negativa-de-ojeda/P2SNH4NJXBGJVDLFHJIVHXITD4/"
"2","Emergencia","1.357 hectáreas afectadas: incendio forestal en Tierra del Fuego se encuentra “parcialmente contenido”","https://www.latercera.com/nacional/noticia/1357-hectareas-afectadas-incendio-forestal-en-tierra-del-fuego-se-encuentra-parcialmente-contenido/ORLLQ74LKZASTN67IC3TQWNBNM/"
"3","Starlink","Tormenta geotérmica destruye el 80% de los satélites del proyecto Starlink lanzados por Elon Musk","https://www.latercera.com/que-pasa/noticia/tormenta-geotermica-destruye-el-80-de-los-satelites-del-proyecto-starlink-lanzados-por-elon-musk/57MEA65JAFBN3JTHTIWCFW3EOQ/"
"4","Astronomía","Observación astronómica dentro y fuera del planeta: ¿Cómo conviven y se complementan los telescopios terrestres y satelitales?","https://www.latercera.com/que-pasa/noticia/observacion-astronomica-dentro-y-fuera-del-planeta-como-conviven-y-se-complementan-los-telescopios-terrestres-y-satelitales/UVA4WSOPKREA7O3IKRWO3IMOOA/"
"5","Fútbol","El Chelsea será el rival del Palmeiras en la final del Mundial de Clubes","https://www.latercera.com/el-deportivo/noticia/el-chelsea-sera-el-rival-del-palmeiras-en-la-final-del-mundial-de-clubes/IWDKFJ2SCZFELFG7VM3D2NN2WY/"
"6","Policial","Fiscalía indaga la muerte de una mujer baleada en el Parque Los Reyes","https://www.latercera.com/nacional/noticia/fiscalia-indaga-la-muerte-de-una-mujer-baleada-en-el-parque-los-reyes/RLFGTZT3CJE63GTG76DZZYX5PM/"
"7","Star Wars","Ewan McGregor está feliz de realizar una producción para los fans de las precuelas y tanteó escenas entre Anakin y Kenobi en la serie de Obi-Wan","https://www.latercera.com/mouse/ewan-mcgregor-esta-feliz-de-realizar-una-produccion-para-los-fans-de-las-precuelas-y-tanteo-escenas-entre-anakin-y-kenobi-en-la-serie-de-obi-wan/"
"8","Región de Magallanes","Sensor satelital muestra la magnitud del incendio forestal en Timaukel","https://www.latercera.com/la-tercera-tv/noticia/sensor-satelital-muestra-la-magnitud-del-incendio-forestal-en-timaukel/PPXXPVHB35HIJO7CJMC2T45PV4/"
"9","Ciencia","¿Qué comían Los Picapiedra?","https://www.latercera.com/que-pasa/noticia/que-comian-los-picapiedra/RPGRQQ53GJGC5IDONRAMHYWPFE/"
"10","Morbius","Un nuevo póster de Morbius quiere convencernos de que la película finalmente se estrenará en abril","https://www.latercera.com/mouse/un-nuevo-poster-de-morbius-quiere-convencernos-de-que-la-pelicula-finalmente-se-estrenara-en-abril/"
"11","Coronavirus","Coinfección con hongos en pacientes enfermos de Covid-19: cinco razones que aumentan este riesgo","https://www.latercera.com/que-pasa/noticia/coinfeccion-con-hongos-en-pacientes-enfermos-de-covid-19-cinco-razones-que-aumentan-este-riesgo/ZO5YR7KTORDTREAYUSB3GN7MKY/"
"12","Club Paula Cocina","5 restaurantes para comer pizza en Santiago","https://www.latercera.com/paula-cocina/noticia/5-restaurantes-para-comer-pizza-en-santiago/R3MLRPAX5NHWVPBSO6EVKZAXAE/"
"13","Firestarter","Blumhouse presentó el primer tráiler para la nueva película de Firestarter de Stephen King","https://www.latercera.com/mouse/blumhouse-presento-el-primer-trailer-para-la-nueva-pelicula-de-firestarter-de-stephen-king/"
"14","Attack on Titan","El misterioso origen de los titanes fue revelado de forma magistral en Shingeki No Kyojin","https://www.latercera.com/mouse/el-misterioso-origen-de-los-titanes-fue-revelado-de-forma-magistral-en-shingeki-no-kyojin/"
"15","La Tercera PM","Cómo la iniciativa popular en defensa del Senado se convirtió en una de las más patrocinadas (y su frente a frente con la comisión que aprobó la unicameralidad)","https://www.latercera.com/la-tercera-pm/noticia/como-la-iniciativa-popular-en-defensa-del-senado-se-convirtio-en-una-de-las-mas-patrocinadas-y-su-frente-a-frente-con-la-comision-que-aprobo-la-unicameralidad/6NJZISUTBRHLTAIJMC2R4R23JE/"
