"","seccion","titular","enlace_noticia"
"1","Edmundo González","Senador Chahuán revela eventual visita de Edmundo González a Chile","https://www.latercera.com/politica/noticia/senador-chahuan-revela-eventual-visita-de-edmundo-gonzalez-a-chile/MZIOTPMBNBEAZAUJNMQE6CVSKY/"
"2","Festival de Viña","A qué hora es la Gala del Festival de Viña 2025 y dónde verla en vivo","https://www.latercera.com/servicios/noticia/a-que-hora-es-la-gala-del-festival-de-vina-2025-y-donde-verla-en-vivo/PG4VGC3TZZBWRHFE6P2LZBSFIM/"
"3","Compliance","Columna de Susana Sierra: Compliance, la verdadera ventaja competitivaExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-susana-sierra-compliance-la-verdadera-ventaja-competitiva/PHOSOLQ25VGQJEATDE7RTWVEGE/"
"4","Ronald Ojeda","A un año del secuestro de Ronald Ojeda: la historia del crimen que dejó en vilo las relaciones entre Chile y Venezuela","https://www.latercera.com/nacional/noticia/a-un-ano-del-secuestro-de-ronald-ojeda-la-historia-del-crimen-que-dejo-en-vilo-las-relaciones-entre-chile-y-venezuela/AVDHUTNFDRAM3OBNSG3I4LI7IY/"
"5","Guerra Medio Oriente","Hamas da a conocer el nombre de los seis rehenes que liberará el sábado","https://www.latercera.com/mundo/noticia/hamas-da-a-conocer-el-nombre-de-los-seis-rehenes-que-liberara-el-sabado/WCXAEPUIC5DM7ISQFY52AXN4MY/"
"6","Trabajo","Las guardianas del telar de palo planta’o","https://www.latercera.com/paula/las-guardianas-del-telar-de-palo-plantao/"
"7","lt-board","¿Cuánto falta para que tengamos energías 100% limpias en nuestras casas? Revive lo nuevo de A BORDO","https://www.latercera.com/lt-board/noticia/cuanto-falta-para-que-tengamos-energias-100-limpias-en-nuestras-casas-revive-lo-nuevo-de-a-bordo/SI3NP3RJXVCOVAKHAH7FZQ75CE/"
"8","Fútbol","Con derbi español incluido: así quedaron los octavos de final de la Champions League","https://www.latercera.com/el-deportivo/noticia/con-derbi-espanol-incluido-asi-quedaron-los-octavos-de-final-de-la-champions-league/EB4KNCUDPZFRDEUAUHZSOSQFW4/"
"9","Guerra en Ucrania","Estadounidenses y rusos han mantenido conversaciones paralelas sobre Ucrania en Suiza","https://www.latercera.com/mundo/noticia/estadounidenses-y-rusos-han-mantenido-conversaciones-paralelas-sobre-ucrania-en-suiza/KE44BDYCJJCRROX5UVNPNFEIDE/"
"10","Guerra Medio Oriente","Hamas dice que los restos de la rehén israelí Shiri Bibas se “mezclaron” con otros tras un bombardeo de Israel en Gaza","https://www.latercera.com/mundo/noticia/hamas-dice-que-los-restos-de-la-rehen-israeli-shiri-bibas-se-mezclaron-con-otros-tras-un-bombardeo-de-israel-en-gaza/7QGUK6MNDZHDVAZIFRW3HUBJ5M/"
"11","Geopolítica","Tras el fuerte desencuentro, Estados Unidos le pide “bajar el tono” a Zelenski y firmar un acuerdo","https://www.latercera.com/tendencias/noticia/tras-el-fuerte-desencuentro-estados-unidos-le-pide-bajar-el-tono-a-zelenski-y-firmar-un-acuerdo/X2RMHGLLTZCRZCAOJMDHLMQT5U/"
"12","Guerra Medio Oriente","Ejército israelí afirma que el cuerpo de Shiri Bibas no se encuentra entre los rehenes devueltos","https://www.latercera.com/mundo/noticia/hamas-entrega-los-cuerpos-de-shiri-bibas-y-sus-dos-hijos/Z5EJFP2NJFADXOHRGM4DPLZFJE/"
"13","Guerra Medio Oriente","“Merece todo nuestro repudio”: Van Klaveren condena entrega de cuerpo que no correspondía a Shiri Bibas por parte de Hamas a Israel","https://www.latercera.com/mundo/noticia/merece-todo-nuestro-repudio-van-klaveren-condena-entrega-de-otro-cuerpo-por-parte-de-hamas-a-israel/7EBAAFRHNVCFTA34IAK66XY2ZU/"
"14","Telecomunicaciones","El “Tío Wom” pacta su regreso a la compañía una vez que salga del Capítulo 11","https://www.latercera.com/pulso/noticia/el-tio-wom-pacta-su-regreso-a-la-compania-una-vez-salga-del-capitulo-11/QC4345A47RG3ZESIEO77NOICHI/"
"15","Fútbol","La reacción de Cristóbal Campos al millonario aporte que los planteles de la U, la UC y Colo Colo le dan para su recuperación","https://www.latercera.com/el-deportivo/noticia/la-reaccion-de-cristobal-campos-al-millonario-aporte-que-los-planteles-de-la-u-la-uc-y-colo-colo-le-dan-para-su-recuperacion/Y2Y2LK5EUVHUDN5ZWVJ3IGTFLU/"
