"","seccion","titular","enlace_noticia"
"1","Apagón","Tras apagón Matthei apunta al gobierno y asegura que Boric no tiene “un mínimo de mea culpa”","https://www.latercera.com/politica/noticia/tras-apagon-matthei-apunta-al-gobierno-y-asegura-que-boric-no-tiene-un-minimo-de-mea-culpa/E3ES5NS6QBEAHDVPXBQWSTNG2I/"
"2","Corte de luz","Estos son los 3 mejores cargadores portátiles para celulares y tablets, según el New York Times","https://www.latercera.com/tendencias/noticia/estos-son-los-3-mejores-cargadores-portatiles-para-celulares-y-tablets-segun-el-new-york-times/UJUJP6BEDVGIHKBOJ27MEFHQPY/"
"3","Presidenciales","Presidenta del Partido Socialista señala que definirán candidato presidencial después del 16 de marzo","https://www.latercera.com/politica/noticia/presidenta-del-partido-socialista-senala-que-definiran-candidato-presidencial-despues-del-16-de-marzo/LCOFFI4WHFB27P2TDEQZTBBLXM/"
"4","ClubLT Tiempo Libre","Vive una exclusiva experiencia de maridaje con Paul Bruno y los creadores de sus icónicos vinos","https://www.latercera.com/club-la-tercera/noticia/vive-una-exclusiva-experiencia-de-maridaje-con-paul-bruno-y-los-creadores-de-sus-iconicos-vinos/LULRT4FGRJFZBLI4GCD4WJOFSM/"
"5","Policial","Investigan millonario robo a sucursal de banco en Cerrillos","https://www.latercera.com/nacional/noticia/investigan-millonario-robo-a-sucursal-de-banco-en-cerrillos/P2U4H4EO4JDZ5IVHI7SHPEPA5A/"
"6","Planeta Motos","KTM se salva de la quiebra gracias a los millones de sus socios","https://www.latercera.com/mtonline/noticia/ktm-se-salva-de-la-quiebra-gracias-a-los-millones-de-sus-socios/PIJCRW2YHRED3ERBZCRPXONQBQ/"
"7","Chile","Voraz incendio en La Florida deja cuatro viviendas afectadas","https://www.latercera.com/la-tercera-tv/noticia/voraz-incendio-en-la-florida-deja-cuatro-viviendas-afectadas/2PUPN6OA7NDJJNPGHMNIVV4J7E/"
"8","Guerra Medio Oriente","Hamas e Israel anuncian nuevo intercambio de cadáveres de rehenes por prisioneros","https://www.latercera.com/mundo/noticia/hamas-e-israel-anuncian-nuevo-intercambio-de-cadaveres-de-rehenes-por-prisioneros/TUUGMBCSXFDAHBF76ZKW5NHKJI/"
"9","Moda","Ropa de segunda mano: ¿moda sustentable u otro mercado textil en crecimiento?","https://www.latercera.com/paula/ropa-de-segunda-mano-moda-sustentable-u-otro-mercado-textil-en-crecimiento/"
"10","Fútbol","Todo se paga: el día en que un futbolista de Independiente de Santa Fe se burló de Iquique como rival de la Libertadores","https://www.latercera.com/el-deportivo/noticia/todo-se-paga-el-dia-en-que-un-futbolista-de-independiente-de-santa-fe-se-burlo-de-iquique-como-rival-de-la-libertadores/F67QEIOPHRHMLCQZWIAJB7SECY/"
"11","Festival de Viña","Festival de Viña 2025: estos son los artistas de hoy, miércoles 26 de febrero","https://www.latercera.com/servicios/noticia/festival-de-vina-2025-estos-son-los-artistas-de-hoy-miercoles-26-de-febrero/DTVNKNW7YJGMXFS6NBOF6EF77I/"
"12","IA","Columna de Rodrigo Ramírez: Entrenar modelos de IA para la seguridad públicaExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-rodrigo-ramirez-entrenar-modelos-de-ia-para-la-seguridad-publica/NCTZ4QZD5ZAEVKPT5B4LN3MQEA/"
"13","Música","Incluye un nuevo escenario: ¿Qué artistas se presentan cada día del Festival REC 2025?","https://www.latercera.com/culto/2025/02/26/incluye-un-nuevo-escenario-que-artistas-se-presentan-cada-dia-del-festival-rec-2025/"
"14","Apagón","Orrego sobre corte de luz: “Esto es lejos lo más grave que me ha tocado ver en mi carrera”","https://www.latercera.com/nacional/noticia/orrego-sobre-corte-de-luz-esto-es-lejos-lo-mas-grave-que-me-ha-tocado-ver-en-mi-carrera/SSUTEETGZFH2BCFRG6KASGWG3I/"
"15","Gremios","Presidenta de la CPC dice que preocupa la demora en reponer el servicio tras corte de luz y apunta a acelerar inversiones","https://www.latercera.com/pulso/noticia/presidenta-de-la-cpc-dice-que-preocupa-la-demora-en-reponer-el-servicio-tras-corte-de-luz-y-apunta-a-acelerar-inversiones/XNR356L7W5DTJHNNNHQIMQDYZM/"
