"","seccion","titular","enlace_noticia"
"1","Pensiones","Marcel por reforma de pensiones: “Con los cambios que estamos haciendo, este ya no será un sistema de AFP, sino un sistema de pensiones mixto”","https://www.latercera.com/pulso/noticia/marcel-por-reforma-de-pensiones-con-los-cambios-que-estamos-haciendo-este-ya-no-sera-un-sistema-de-afp-sino-un-sistema-de-pensiones-mixto/2A55BDHCWZDG7MEUBSR7RZEDSE/"
"2","Policial","Homicidio frustrado en Molina: sujeto fue baleado cinco veces en la vía pública","https://www.latercera.com/nacional/noticia/homicidio-frustrado-en-molina-sujeto-fue-baleado-cinco-veces-en-la-via-publica/ZAZLJOB7QNACLJ37SHMIZ5UJO4/"
"3","Policial","Desbaratan banda de tres personas dedicadas a estafar por la modalidad del “cuento del tío” en Linares","https://www.latercera.com/nacional/noticia/desbaratan-banda-de-tres-personas-dedicadas-a-estafar-por-la-modalidad-del-cuento-del-tio-en-linares/NOJ4QTEE3BGMZLALW5W45M6OMA/"
"4","Fast Track 2.0","Fast Track 2.0 de seguridad: solo 4 de 31 proyectos han sido aprobados y gran parte de la agenda se estancó en el Congreso","https://www.latercera.com/politica/noticia/fast-track-20-de-seguridad-solo-4-de-31-proyectos-han-sido-aprobados-y-gran-parte-de-la-agenda-se-estanco-en-el-congreso/5YK4ALO6PRH35F366PNDYWAZZU/"
"5","Reforma de Pensiones","¿Qué falta para que la reforma de pensiones se convierta en ley?","https://www.latercera.com/politica/noticia/que-falta-para-que-la-reforma-de-pensiones-se-convierta-en-ley/N2F5MLMFZVH2FKHTIC36YJCKLQ/"
"6","Fútbol","Muere Gustavo Cisneros, exentrenador de San Felipe tras luchar contra un cáncer","https://www.latercera.com/el-deportivo/noticia/muere-gustavo-cisneros-ex-entrenador-de-san-felipe-tras-luchar-contra-un-cancer/OSBGI3W3XNGPNOLXZMKQTTYNEI/"
"7","Tecnología","3 anuncios de Samsung en el evento Unpacked que podrían remecer a la industria de la tecnología","https://www.latercera.com/tendencias/noticia/3-anuncios-de-samsung-en-el-evento-unpacked-que-podrian-remecer-a-la-industria-de-la-tecnologia/47BWKF3ZZ5BQTG3JM2LCHYOY5Q/"
"8","Policial","Adolescente de 17 años es detenido por homicidio con arma blanca en Ancud: víctima es un hombre de 45 años","https://www.latercera.com/nacional/noticia/adolescente-de-17-anos-es-detenido-por-homicidio-con-arma-blanca-en-ancud-victima-es-un-hombre-de-45-anos/UVCTFFD5KNH4BDTEDWELH3S6Q4/"
"9","Jaime Gajardo","Gajardo sostiene que tesis de Fiscalía por caso Ojeda “tiene una gravedad que hemos visto pocas veces en las relaciones internacionales”","https://www.latercera.com/nacional/noticia/gajardo-sostiene-que-tesis-de-la-fiscalia-sobre-caso-ojeda-tiene-una-gravedad-que-hemos-visto-pocas-veces-en-las-relaciones-internacionales/KXMU64RSIBD3TC5KTFDKRDMYLM/"
"10","Policial","Formalizan este lunes a los dos imputados por el robo y homicidio en contra de un adulto mayor en San Bernardo","https://www.latercera.com/nacional/noticia/formalizan-este-lunes-a-los-dos-imputados-por-el-robo-y-homicidio-en-contra-de-un-adulto-mayor-en-san-bernardo/C3RXEWS4HJAYBJTAKJJITIJDY4/"
"11","Carabineros","Carabineros logra detención de sujeto tras extensa persecución: robó auto en Viña del Mar y fue capturado en Santiago","https://www.latercera.com/nacional/noticia/carabineros-logra-detencion-de-sujeto-tras-extensa-persecucion-robo-auto-en-vina-del-mar-y-fue-capturado-en-santiago/ZDBP5K5HQ5EDHCBF4JXPJI7TOA/"
"12","Alto al fuego en Gaza","A vista de dron: miles de palestinos son retenidos en su intento de regresar al norte de Gaza","https://www.latercera.com/la-tercera-tv/noticia/a-vista-de-dron-miles-de-palestinos-son-retenidos-en-su-intento-de-regresar-al-norte-de-gaza/245LXH4AUNDTPMBRNZXO2ECA7Y/"
"13","Minuto a minuto","En vivo: Udinese y Alexis Sánchez vencen por 1-0 a la Roma por la liga italiana","https://www.latercera.com/el-deportivo/noticia/en-vivo-el-udinese-desafia-a-la-roma-por-la-liga-italiana/P5KY4HCZOFCW3AM7GROEK5SHGM/"
"14","Juan Manuel Santa Cruz","Juan Manuel Santa Cruz, la carta disidente de Evópoli que presidirá el partido","https://www.latercera.com/politica/noticia/juan-manuel-santa-cruz-la-carta-disidente-de-evopoli-que-presidira-el-partido/EIJA62BHY5HLHGSNLFOEQLIAKM/"
"15","Arica","Grúa se desplomó sobre gimnasio Smart Fit en Arica","https://www.latercera.com/la-tercera-tv/noticia/grua-se-desplomo-sobre-gimnasio-smart-fit-en-arica/BFMSO7UNTNFBPMV73LMYRQKQRM/"
