"","seccion","titular","enlace_noticia"
"1","Vida sana","2025: ¿El Año de Aceptar las Arrugas?","https://www.latercera.com/paula/2025-el-ano-de-aceptar-las-arrugas/"
"2","La Tercera","Capítulo 169 | Desde la Redacción: entrevista a Pablo Piñera, hermano del expresidente","https://www.latercera.com/videopodcast/redaccion/capitulo-169-desde-la-redaccion-entrevista-a-pablo-pinera-hermano-del-expresidente/"
"3","Fútbol","Fernando Zampedri queda a la espera del llamado de Gareca: “No hemos hablado; trabajaré para estar disponible”","https://www.latercera.com/el-deportivo/noticia/fernando-zampedri-queda-a-la-espera-del-llamado-de-gareca-no-hemos-hablado-trabajare-para-estar-disponible/FGFEJ5D6V5GVXO2FEZTOTPZ7WI/"
"4","Chile","Hermano de Sebastián Piñera rememora su legado a un año de su muerte","https://www.latercera.com/la-tercera-tv/noticia/hermano-de-sebastian-pinera-rememora-su-legado-a-un-ano-de-su-muerte/POZRRUCARVGQ5B3725A7KG5ZUY/"
"5","Sebastián Sichel","Sichel, exvicepdte de la Corfo por traspasos de dineros: “No están pidiendo los excedentes, son recursos que podrían descapitalizar”","https://www.latercera.com/politica/noticia/sichel-exvicepdte-de-la-corfo-por-traspasos-de-dineros-no-estan-pidiendo-los-excedentes-son-recursos-que-podrian-descapitalizar/F4MIG4Y6SFBVFGB2INJDI7L7GM/"
"6","Desde la Redacción","Drama, historias de superación y excelentes críticas: películas nominadas a los Oscar llegan a cines nacionales","https://www.latercera.com/videopodcast/redaccion/drama-historias-de-superacion-y-excelentes-criticas-peliculas-nominadas-a-los-oscar-llegan-a-cines-nacionales/"
"7","Qué Pasa","Es la muestra más grande jamás realizada: astrónomos revelan inédito descubrimiento en el Universo","https://www.latercera.com/que-pasa/noticia/aumenta-tres-veces-la-cantidad-conocida-astronomos-descubren-miles-de-nuevos-agujeros-negros-en-el-universo/VIADKRR6ABDONBWY3Q7IMEC6MI/"
"8","Carabineros","¿Cuánto gana un carabinero?","https://www.latercera.com/nacional/noticia/cuanto-gana-un-carabinero/EE7H33TJNVBUFB5OYNYRE6U3LA/"
"9","Elon Musk","Elon Musk en el gobierno de Trump: de dirigir DOGE a asesor principal del mandatario estadounidense","https://www.latercera.com/mundo/noticia/elon-musk-en-el-gobierno-de-trump-de-dirigir-doge-a-asesor-principal-del-mandatario-estadounidense/4UIZAABRXZHXPAIDDSQ33V4QS4/"
"10","La Tercera PM","Marcel otra vez en la mira: La Moneda busca blindar a Hacienda por polémica que desató traspasos de Corfo al FiscoExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/marcel-otra-vez-en-la-mira-la-moneda-busca-blindar-a-hacienda-por-polemica-que-desato-traspasos-de-corfo-al-fisco/QOZLDVWRSVEANNH34KI67IL2PU/"
"11","La tercera PM","Fuego amigo: Alcalde de Peñalolén impulsa auditoría a Leitao tras leaseback de $7.000 millonesExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/fuego-amigo-alcalde-de-penalolen-impulsa-auditoria-a-leitao-por-leaseback-de-7000-millones/WIP4SOEEJVDMJJCIYI6YEN65ZI/"
"12","Política","Sube la presión de la derecha contra Marcel y los roles de Matthei y Kast en la ofensiva Exclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/sube-la-presion-de-la-derecha-contra-marcel-y-los-roles-de-matthei-y-kast-en-la-ofensiva/MNAH25OEVBBJZKWXIUOMO6L5TA/"
"13","Arte","Deudas impagas con artesanos, cierre de tiendas y despidos: la “mala gestión“ y crisis financiera de Artesanías de ChileExclusivo suscriptor","https://www.latercera.com/culto/2025/02/19/deudas-impagas-con-artesanos-cierre-de-tiendas-y-despidos-la-mala-gestion-y-crisis-financiera-de-artesanias-de-chile/"
"14","Elecciones 2025","Vlado Mirosevic y su candidatura presidencial: “Con esto no estoy intentando buscar una catapulta hacia el Senado”Exclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/vlado-mirosevic-y-su-candidatura-presidencial-con-esto-no-estoy-intentando-buscar-una-catapulta-hacia-el-senado/O7LZDHVJ3ZBPBFFHMMWGQ3NY7M/"
"15","Jair Bolsonaro","Bolsonaro imputado: las claves para entender el caso contra el expresidente brasileñoExclusivo suscriptor","https://www.latercera.com/mundo/noticia/bolsonaro-imputado-las-claves-para-entender-el-caso-contra-el-expresidente-brasileno/RYNRPTCQJFAS7PXFL3WOZFEE7Q/"
