"","seccion","titular","enlace_noticia"
"1","Polideportivo","Bárbara Hernández buscará nuevo récord al nadar en la Antártica","https://www.latercera.com/el-deportivo/noticia/barbara-hernandez-buscara-nuevo-record-al-nadar-en-la-antartica/MVLN6RPLVVEH3P26VNDRCIBN2E/"
"2","Opinión","Educación inclusiva: un desafío necesario","https://www.latercera.com/que-pasa/noticia/educacion-inclusiva-un-desafio-necesario/A2CHUZYQQJDRDCK7GDLH3DPRW4/"
"3","Fútbol","Director del Betis y renovación de Bravo: “Ya tendremos noticias, es un jugador importante para el club”","https://www.latercera.com/el-deportivo/noticia/director-del-betis-y-renovacion-de-bravo-ya-tendremos-noticias-es-un-jugador-importante-para-el-club/V62NZISJY5DBZNMWBNV5INFZAU/"
"4","Congreso Futuro","Una llamada telefónica bastará para saber si tienes Covid: Congreso Futuro utilizará Inteligencia Artificial para saber si invitados están contagiados","https://www.latercera.com/que-pasa/noticia/congreso-futuro-utilizara-inteligencia-artificial-para-saber-si-sus-invitados-tienen-covid-19/OTBW2ADIBNGAFJKHBAPD6TMQXM/"
"5","PIB","Cepal es más pesimista que el BM y el mercado y estima que Chile crecerá menos que la región en 2022","https://www.latercera.com/pulso/noticia/cepal-es-mas-pesimista-que-el-bm-y-el-mercado-y-estima-que-chile-crecera-menos-que-la-region-en-2022/XSZKQSV2DFH2HK7IPVMNYLAGUI/"
"6","Fútbol","Karen Araya redebuta en el Sevilla con victoria por la liga española","https://www.latercera.com/el-deportivo/noticia/karen-araya-redebuta-en-el-sevilla-con-victoria-por-la-liga-espanola/DSZJLZPCNFFNFMSDSDICCAN3UY/"
"7","Sintomas","¿Cuánto duran los síntomas? ¿Si soy positivo, por cuánto tiempo puedo contagiar? Esto es lo que se sabe hasta ahora de Ómicron","https://www.latercera.com/que-pasa/noticia/cuanto-duran-los-sintomas-si-soy-positivo-por-cuanto-tiempo-puedo-contagiar-esto-es-lo-que-se-sabe-hasta-ahora-de-omicron/G6TP6DN4F5ER3AXLWU7KYXB47Y/"
"8","Fútbol","Santiago Escobar, el nuevo DT de la U: “El hincha que nos tenga paciencia porque hay mucho trabajo que hacer”","https://www.latercera.com/el-deportivo/noticia/santiago-escobar-el-nuevo-dt-de-la-u-el-hincha-que-nos-tenga-paciencia-porque-hay-mucho-trabajo-que-hacer/HVGLNJFA2BAYFGTD46AANTHPOY/"
"9","Minuto a minuto","En vivo: el Barcelona y el Real Madrid se enfrentan por la Supercopa","https://www.latercera.com/el-deportivo/noticia/en-vivo-el-barcelona-y-el-real-madrid-se-enfrentan-por-la-supercopa/ETGEPQPDRBEU5AOKRFIGUKLREE/"
"10","#LosMejores2022","El Mejor de los Mejores: Opel Mokka","https://www.latercera.com/mtonline/noticia/el-mejor-de-los-mejores-opel-mokka/23XUZQF3DBDB7GZIBYMXL6FKUE/"
"11","Coronavirus","Ya no es necesario contar a los contagiados ¿Cómo medir la magnitud de Ómicron?","https://www.latercera.com/que-pasa/noticia/ya-no-es-necesario-contar-a-los-contagiados-como-medir-la-magnitud-de-omicron/5M6TPUY4PRDKDL55MERPMVIW4I/"
"12","Fiscalía Nacional","Fiscal Abbott sobre carteles internacionales en Chile: “Lo peor que nos puede pasar es negar la posibilidad o la existencia de su presencia en el país”","https://www.latercera.com/nacional/noticia/fiscal-abbott-sobre-carteles-internacionales-en-chile-lo-peor-que-nos-puede-pasar-es-negar-la-posibilidad-o-la-existencia-de-su-presencia-en-el-pais/UR6Q6IOHANBAZLSLANIW3NUGFE/"
"13","Ciencia","Impredecible y caótico: así es el agujero negro de nuestra Vía Láctea","https://www.latercera.com/que-pasa/noticia/impredecible-y-caotico-asi-es-el-agujero-negro-de-nuestra-via-lactea/MXGWLEYYSJARDMTWVAMRJY5LHI/"
"14","Materias primas","El cobre tiene su mejor día en cuatro meses y la libra alcanza su mayor precio desde noviembre","https://www.latercera.com/pulso/noticia/el-cobre-tiene-su-mejor-dia-en-cuatro-meses-y-la-libra-alcanza-su-mayor-precio-desde-noviembre/D4SVESVFP5AO3K3FRWSNDYRJTA/"
"15","#LosMejores2022","Mejor Auto: Skoda Octavia:","https://www.latercera.com/mtonline/noticia/mejor-auto-skoda-octavia/C73YGJEAQRFUJKWTX5HTNJRZWQ/"
