"","seccion","titular","enlace_noticia"
"1","Guerra en Medio Oriente","Los hospitales de Gaza reciben diez nuevos muertos en las últimas 24 horas","https://www.latercera.com/mundo/noticia/los-hospitales-de-gaza-reciben-diez-nuevos-muertos-en-las-ultimas-24-horas/7W4ZQXROEJHYTHPWC5MG44G2TY/"
"2","Megatoma","Gobierno avanza en la conformación de cooperativas en la megatoma de San Antonio: se han asociado casi 2000 familias","https://www.latercera.com/nacional/noticia/gobierno-avanza-en-la-conformacion-de-cooperativas-en-la-megatoma-de-san-antonio-se-han-asociado-casi-2000-familias/AY4DHCMVGFHV5PSDVSPJQAHJII/"
"3","Papa Francisco","“Un aniversario doloroso y vergonzoso”: el mensaje del Papa Francisco a tres años del inicio de la guerra en Ucrania","https://www.latercera.com/mundo/noticia/un-aniversario-doloroso-y-vergonzoso-el-mensaje-del-papa-francisco-a-tres-anos-del-inicio-de-la-guerra-en-ucrania/PXUJDYQMTFBUHD74MYJBJBGFQE/"
"4","Carabineros","Debido a una fuga de gas: Lo que se sabe de la explosión en subcomisaría de Independencia","https://www.latercera.com/nacional/noticia/debido-a-una-fuga-de-gas-lo-que-se-sabe-de-la-explosion-en-subcomisaria-de-independencia/2ACEVK5F5FFVBK5R6DSHJM4DPE/"
"5","Policial","Accidente de tránsito que involucró a tres vehículos en Peñaflor deja un fallecido y una persona en riesgo vital","https://www.latercera.com/nacional/noticia/accidente-de-transito-que-involucro-a-tres-vehiculos-en-penaflor-deja-un-fallecido-y-una-persona-en-riesgo-vital/DPWRBHYTKRAGRCGD2E5ZDG7LOQ/"
"6","Hezbolá","Líbano ultima los preparativos para el multitudinario funeral de Hasán Nasralá este domingo","https://www.latercera.com/mundo/noticia/libano-ultima-los-preparativos-para-el-multitudinario-funeral-de-hasan-nasrala-este-domingo/QJKSUWLBJ5DOPKRHPM3L4LHFMQ/"
"7","Guerra en Medio Oriente","Organizaciones palestinas denuncian la paralización de las excarcelaciones como un acto de terrorismo","https://www.latercera.com/mundo/noticia/organizaciones-palestinas-denuncian-la-paralizacion-de-las-excarcelaciones-como-un-acto-de-terrorismo/FPQUPBJOU5DVZHCPYNVEHWBNFE/"
"8","Carabineros","Tres carabineros lesionados tras explosión y posterior incendio en subcomisaría de Independencia","https://www.latercera.com/nacional/noticia/tres-carabineros-lesionados-deja-explosion-y-posterior-incendio-en-subcomisaria-de-independencia/5ONRU73GT5HJRJMHAB2AXI7HA4/"
"9","Festival de Viña","Festival de Viña 2025: estos son los artistas de hoy, domingo 23 de febrero","https://www.latercera.com/servicios/noticia/festival-de-vina-2025-estos-son-los-artistas-de-hoy-domingo-23-de-febrero/GHUD46BMUBBQTH2WMB5DEUZYUE/"
"10","China","China insta a EEUU a dejar de “politizar y militarizar” las cuestiones económicas y comerciales","https://www.latercera.com/mundo/noticia/china-insta-a-eeuu-a-dejar-de-politizar-y-militarizar-las-cuestiones-economicas-y-comerciales/IUH5RDOVPBGZLM5TF73PAR7Y4E/"
"11","Alemania","Abren los centros de votación para las elecciones en Alemania","https://www.latercera.com/mundo/noticia/abren-los-centros-de-votacion-para-las-elecciones-en-alemania/DSEMLJIEJBAC3F3GAF3D73Q46M/"
"12","Papa Francisco","El Papa Francisco pasa una noche “tranquila” después de la crisis asmática del sábado","https://www.latercera.com/mundo/noticia/el-papa-francisco-pasa-una-noche-tranquila-despues-de-la-crisis-asmatica-del-sabado/2GNZUFG7DVEN5LFWBPVU4BEVXE/"
"13","Fútbol","Dónde ver en vivo a Manchester City vs. Liverpool por TV y online","https://www.latercera.com/servicios/noticia/donde-ver-en-vivo-a-manchester-city-vs-liverpool-por-tv-y-online/KJM2B44EGJAGNNGTFJPMAC7FC4/"
"14","Policial","Balacera en La Pintana deja un fallecido y otros dos heridos de gravedad","https://www.latercera.com/nacional/noticia/balacera-en-la-pintana-deja-un-fallecido-y-otros-dos-heridos-de-gravedad/IDQLYT6JTRE47KV3VWUKKQJZQA/"
"15","Sismo","Temblor hoy, domingo 23 de febrero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-domingo-23-de-febrero-en-chile-consulta-epicentro-y-magnitud-clone/EOO3NX3I6ZC7TICIGEKWVBANXI/"
