"","seccion","titular","enlace_noticia"
"1","Tenis","Chile queda al borde de la eliminación: Jarry y Barrios pierden el dobles ante Bélgica por Copa Davis","https://www.latercera.com/el-deportivo/noticia/chile-queda-al-borde-de-la-eliminacion-jarry-y-barrios-pierden-el-dobles-ante-belgica-por-copa-davis/PEV6OUGPOVCXDA3VZSRRSGLXEA/"
"2","Viral","El hilarante escape de estos dos perros se hizo viral en la red","https://www.latercera.com/la-tercera-tv/noticia/el-hilarante-escape-de-estos-dos-perros-se-hizo-viral-en-la-red/YJSZ7MWOAFE47BSOCSUIKUZ6J4/"
"3","Fútbol","Sufre Nicolás Córdova de cara al hexagonal: la Roja Sub 20 libera a una de sus figuras del Sudamericano por lesión","https://www.latercera.com/el-deportivo/noticia/sufre-nicolas-cordova-de-cara-al-hexagonal-la-roja-sub-20-libera-a-una-de-sus-figuras-del-sudamericano-por-lesion/M6NG4WR3GNFAZMVTFXIMXUYOEI/"
"4","Explotación sexual infantil","Detienen a directivo de fundación Chile Diverso por almacenamiento de material de explotación sexual infantil","https://www.latercera.com/nacional/noticia/detienen-a-directivo-de-fundacion-chile-diverso-por-almacenamiento-de-material-de-explotacion-sexual-infantil/XVXRLVP6O5EHNGIJI7IWMA4CTQ/"
"5","Cecilia Morel","Morel defiende instalación de estatua de Piñera: “Me parece un acto de justicia con su legado y compromiso con la democracia”","https://www.latercera.com/politica/noticia/cecilia-morel-defiende-instalacion-de-una-estatua-de-sebastian-pinera-me-parece-un-acto-de-justicia/MRFUOFV745B5HJBMGP2MEPM4OI/"
"6","Policial","Detienen a dos sujetos por violento robo en Ñuñoa: víctima está en riesgo vital tras ataque con cuchillo","https://www.latercera.com/nacional/noticia/detienen-a-dos-sujetos-que-realizaron-violento-robo-en-nunoa-victima-en-riesgo-vital-tras-ataque-con-cuchillo/74TVW4CBCZD5PES3TVDTMLVDWI/"
"7","Sismo","Sismo de mediana intensidad remece parte del norte chico del país: SHOA descartó riesgo de tsunami","https://www.latercera.com/nacional/noticia/sismo-remece-parte-del-norte-chico-del-pais/XLOWGXMKR5ERVFZOQAR7KBNIAU/"
"8","Sismo","Temblor hoy, domingo 2 de febrero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-domingo-2-de-febrero-en-chile-consulta-epicentro-y-magnitud/TTAPY5U2NZBYDGSVSQ7DYXVQE4/"
"9","Policial","Hombre se mantiene en riesgo vital tras ser baleado a bordo de su vehículo en la Alameda","https://www.latercera.com/nacional/noticia/hombre-se-mantiene-en-riesgo-vital-tras-ser-baleado-a-bordo-de-su-vehiculo-en-la-alameda/JGF5JC6DZZCUFG4LEKGD7VPOY4/"
"10","China","China censura los aranceles de Trump y dice que “el fentanilo es un problema de EEUU”","https://www.latercera.com/mundo/noticia/china-censura-los-aranceles-de-trump-y-dice-que-el-fentanilo-es-un-problema-de-eeuu/IKN6F5O63VEOBJUUCG3U3544GE/"
"11","Hub Sustentabilidad","Humedales: Guardianes del futuro y la vida en el planeta","https://www.latercera.com/pulso/noticia/humedales-guardianes-del-futuro-y-la-vida-en-el-planeta/U5FGM4L6BZGFBATQCVCEE2NLIQ/"
"12","Catalina Pérez","Democracia Viva: Catalina Pérez aborda costos políticos y afirma que “el gobierno actuó bien en este caso”","https://www.latercera.com/politica/noticia/democracia-viva-catalina-perez-aborda-costos-politicos-y-afirma-que-el-gobierno-actuo-bien-en-este-caso/GUKNLMCSB5C6ZN3ERTIUOLN4EI/"
"13","Cecilia Pérez","Cecilia Pérez (RN) aboga por primarias en la derecha que incluyan a Rodolfo Carter","https://www.latercera.com/politica/noticia/cecilia-perez-rn-aboga-por-primarias-en-la-derecha-que-incluyan-a-rodolfo-carter/PG6HLRC5ERDGVGERBZGOEWX7MU/"
"14","La Serena","Fraude al fisco en Corporación Municipal de La Serena: este lunes se discuten medidas cautelares de imputados","https://www.latercera.com/nacional/noticia/fraude-al-fisco-en-corporacion-municipal-de-la-serena-este-lunes-se-discuten-medidas-cautelares-de-imputados/5F4UTYZA6VBTTAUSXK6TP3NYVQ/"
"15","Lago Villarrica","Séptimo día de búsqueda de joven desaparecida en lago Villarrica: equipos aún no tienen “resultados positivos”","https://www.latercera.com/nacional/noticia/septimo-dia-de-busqueda-de-joven-desaparecida-en-lago-villarrica-equipos-aun-no-tienen-resultados-positivos/76KMPQF4WBCH3JTUGGM4QPLELI/"
