"","seccion","titular","enlace_noticia"
"1","Divertimento","Turismo enfocado en conciliar el sueño: La nueva tendencia que Suecia busca promover","https://www.latercera.com/mundo/noticia/turismo-enfocado-en-conciliar-el-sueno-la-nueva-tendencia-que-suecia-busca-promover/QSCSD23QGNCIXFVJP5CA6LKRZQ/"
"2","Selección","Gareca recurre a otro baluarte de la Generación Dorada: Charles Aránguiz está de vuelta en la Roja","https://www.latercera.com/el-deportivo/noticia/gareca-recurre-a-otro-baluarte-de-la-generacion-dorada-charles-aranguiz-esta-de-vuelta-en-la-roja/3MNCREZ755HNVJEQLMCJWLQV5I/"
"3","Empresas","Clínica Meds nombra a Enrique Paris como nuevo director médico tras renuncia de Emilio Santelices","https://www.latercera.com/pulso/noticia/clinica-meds-nombra-a-enrique-paris-como-nuevo-director-medico-tras-renuncia-de-emilio-santelices/7CJUWHLN3BBOTDJ6EG5WYEMWB4/"
"4","Mercados","CMF sanciona a ejecutivos de tres empresas por infracciones a la regulación sobre transacción de acciones","https://www.latercera.com/pulso/noticia/cmf-sanciona-a-ejecutivos-de-tres-empresas-por-infracciones-a-la-regulacion-sobre-transaccion-de-acciones/2TPPPTUNJFBPBLFF32TZBNLQVM/"
"5","Premios Caleuche","TVN responde a dichos de Esperanza Silva durante los Premios Caleuche: “Lamentamos que se nos acuse de censura”","https://www.latercera.com/culto/2025/01/31/tvn-responde-a-dicho-de-esperanza-silva-durante-los-premios-caleuche-lamentamos-que-se-nos-acuse-de-censura/"
"6","Economía","Estudio CCS: índice de riesgo empresarial alcanza su valor más alto desde 2021","https://www.latercera.com/pulso/noticia/estudio-ccs-indice-de-riesgo-empresarial-alcanza-su-valor-mas-alto-desde-2021/EJKARY5RS5EGTMOCSJG6MUO6LA/"
"7","Sismo","Temblor hoy, viernes 31 de enero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-viernes-31-de-enero-en-chile-consulta-epicentro-y-magnitud/KMMCIUMBXRHNJCZ2OHSBT7RG5I/"
"8","Desde la Redacción","Subsecretaria Leitao: “Si Orrego decidiera participar en una primaria, no tengo duda de que va a ser un tremendo liderazgo”","https://www.latercera.com/videopodcast/redaccion/subsecretaria-leitao-si-orrego-decidiera-participar-en-una-primaria-no-tengo-duda-de-que-va-a-ser-un-tremendo-liderazgo/"
"9","CChC","CChC por medida para reducir dividendos: “Tiene todas las condiciones para solucionar problemas (del sector)”","https://www.latercera.com/pulso/noticia/gremio-de-la-construccion-por-medida-para-reducir-dividendos-tiene-todas-las-condiciones-para-solucionar-problemas/FSDSQZUPLVCGHLVHMKGEWSFXSE/"
"10","Sebastián Sichel","Sichel se reúne con ministro Cataldo y solicita postergar traspaso de los establecimientos municipales de Ñuñoa al Slep","https://www.latercera.com/nacional/noticia/sichel-se-reune-con-ministro-cataldo-y-solicita-postergar-traspaso-de-los-establecimientos-municipales-de-nunoa-al-slep/KNHANHPGCVDSHA5PXHH6ZC66IE/"
"11","Automotores","Automotores: Último capítulo de la temporada, un repaso al año automotriz","https://www.latercera.com/campuslt/noticia/automotores-ultimo-capitulo-de-la-temporada-un-repaso-al-ano-automotriz/I3VI53UQYZFSJKHZPYFCP5CINE/"
"12","Tenis","El regreso al circuito de Horacio de la Peña: “La exigencia hoy es un poco más light; yo no creo en eso, el trabajo paga”","https://www.latercera.com/el-deportivo/noticia/el-regreso-al-circuito-de-horacio-de-la-pena-la-exigencia-hoy-es-un-poco-mas-light-yo-no-creo-en-eso-el-trabajo-paga/PC6VEGGQ65EJ3BLRP5NRE6X3YM/"
"13","Pensiones","Subsecretario de Previsión Social critica las últimas cartas que enviaron algunas AFP a sus afiliados","https://www.latercera.com/pulso/noticia/subsecretario-de-prevision-social-critica-las-ultimas-cartas-que-enviaron-algunas-afp-a-sus-afiliados/TW5ZP57AJRE6ZJAW3NKI3OMATE/"
"14","Venezuela","Relación suspendida: Van Klaveren dice que cierre de consulados “confirma características de dictadura” en Venezuela","https://www.latercera.com/politica/noticia/relacion-suspendida-van-klaveren-dice-que-cierre-de-consulados-confirma-caracteristicas-de-dictadura-en-venezuela/C3YS7OGQTNHN3CXZXKVAWHJW7Q/"
"15","Tenis","Tenista argentino recibe una sanción de 15 años sin jugar por amaño de partidos","https://www.latercera.com/el-deportivo/noticia/tenista-argentino-recibe-una-sancion-de-15-anos-sin-jugar-por-amano-de-partidos/Z3QLIDKHGZAUDNRRVBQ6AUPBMM/"
