"","seccion","titular","enlace_noticia"
"1","EE.UU.","Trump buscará acuerdo con Bukele para encerrar a miembros del Tren de Aragua en cárceles de El Salvador","https://www.latercera.com/mundo/noticia/trump-buscara-acuerdo-con-bukele-para-encerrar-a-miembros-del-tren-de-aragua-en-carceles-de-el-salvador/AGUC57ZOSJHG3KZFTDAMMZNAD4/"
"2","Incendio forestal","Incendio forestal destruye dos galpones y dos viviendas en La Pintana","https://www.latercera.com/nacional/noticia/incendio-forestal-destruye-dos-galpones-y-dos-viviendas-en-la-pintana/IE6SMTRHWBGPRIF3DCK4FB72VI/"
"3","Correos de los Lectores","Pistolas TaserExclusivo suscriptor","https://www.latercera.com/opinion/noticia/pistolas-taser/BVACGCHUBVAQVEMLLD5WT34LHI/"
"4","Smartphones","Probamos el nuevo Redmi Note 14 Pro 5G, con batería gigantesca y precio accesible","https://www.latercera.com/tendencias/noticia/probamos-el-nuevo-redmi-note-14-pro-5g-con-bateria-gigantesca-y-precio-accesible/M2C6HO2JEVD33FJGZVSSJC4OHY/"
"5","Correos de los Lectores","Estatua del Presidente PiñeraExclusivo suscriptor","https://www.latercera.com/opinion/noticia/estatua-del-presidente-pinera/ZHUH7E4VHZG5BIMFNWYCZ7YLPE/"
"6","Correos de los Lectores","Inversión efectiva: buenos resultados en lectoescrituraExclusivo suscriptor","https://www.latercera.com/opinion/noticia/inversion-efectiva-buenos-resultados-en-lectoescritura/FRJKVGGMEBAIHFGV2R2WCXX3NA/"
"7","Correos de los Lectores","Turismo y seguridadExclusivo suscriptor","https://www.latercera.com/opinion/noticia/turismo-y-seguridad/WDIXZ5ARHVHCBA5FXCPT44RIEM/"
"8","Correos de los Lectores","Incendios hoy e inundaciones mañanaExclusivo suscriptor","https://www.latercera.com/opinion/noticia/incendios-hoy-e-inundaciones-manana/HNCLJSDBLRHMDNHBM3FVWYTK24/"
"9","Correos de los Lectores","Cotización familiarExclusivo suscriptor","https://www.latercera.com/opinion/noticia/cotizacion-familiar/IJWJH4APCJFM5FKIT6AUPUBS5M/"
"10","Reforma previsional","AFP Provida aclara que en la reforma de pensiones no hay “autopréstamo”, sino que más bien incorpora un “préstamo que los trabajadores hacen al Estado”","https://www.latercera.com/pulso/noticia/afp-provida-aclara-que-en-la-reforma-de-pensiones-no-hay-autoprestamo-sino-que-mas-bien-incorpora-un-prestamo-que-los-trabajadores-hacen-al-estado/NZ5IMXWQDNHRFBD7WQNXXTUOXU/"
"11","Comisión para la Paz","Comisión para la Paz impulsada por Boric no llega a acuerdo por restitución de tierras y extiende nuevamente su plazoExclusivo suscriptor","https://www.latercera.com/nacional/noticia/comision-para-la-paz-impulsada-por-boric-no-llega-a-acuerdo-por-restitucion-de-tierras-y-extiende-nuevamente-su-plazo/MTBKTYJOSRFOXDZSMPNF7TETN4/"
"12","Cerezas","El Año Nuevo Chino llegó y los precios de las cerezas chilenas no lograron repuntarExclusivo suscriptor","https://www.latercera.com/pulso/noticia/el-ano-nuevo-chino-llego-y-los-precios-de-las-cerezas-chilenas-no-lograron-repuntar/D32Y5EIPF5DCLDTTHVHBIGNS2M/"
"13","Reforma previsional","Reforma de pensiones: ¿Cuándo inicia el alza de cotización? ¿Y el pago de nuevos beneficios? Las fechas en que empieza a regir todoExclusivo suscriptor","https://www.latercera.com/pulso/noticia/reforma-de-pensiones-cuando-inicia-el-alza-de-cotizacion-y-el-pago-de-nuevos-beneficios-las-fechas-en-que-empieza-a-regir-todo/4T2OOYYQSNDEZB4XIS4QCRLVPE/"
"14","Elecciones 2025","Camilo Escalona (PS) y las presidenciales: “Hay ingredientes que me hacen pensar que Bachelet puede cambiar de opinión”Exclusivo suscriptor","https://www.latercera.com/politica/noticia/camilo-escalona-ps-y-las-presidenciales-hay-ingredientes-que-me-hacen-pensar-que-bachelet-puede-cambiar-de-opinion/AUOREMIZR5H77F7VK22NVMUWDY/"
"15","PUC","Juan Carlos de la Llera: el reconocido ingeniero antisísmico que asume la rectoría de la UCExclusivo suscriptor","https://www.latercera.com/nacional/noticia/juan-carlos-de-la-llera-el-reconocido-ingeniero-antisismico-que-asume-la-rectoria-de-la-uc/UNHKE3TPBBDDHNGBQHGMZ3O7OI/"
