"","seccion","titular","enlace_noticia"
"1","Corea del Sur","Un tribunal vuelve a rechazar la prorroga de la orden de arresto contra el suspendido presidente Yoon","https://www.latercera.com/mundo/noticia/un-tribunal-vuelve-a-rechazar-la-prorroga-de-la-orden-de-arresto-contra-el-suspendido-presidente-yoon/W4VJV54ZMJBATGTKNUAKSWQMXM/"
"2","Televisión","Festival de Las Condes 2025: artistas de hoy, sábado 25 de enero","https://www.latercera.com/servicios/noticia/festival-de-las-condes-2025-artistas-de-hoy-sabado-25-de-enero/OQ7FW3UQWZDEVMJK6PTEKRKDXI/"
"3","Festival de Las Condes","Primera noche del Festival de Las Condes: el romanticismo de Alex Ubago, fracaso de JP Flores y la fiesta de Karen Paola","https://www.latercera.com/culto/2025/01/25/primera-noche-del-festival-de-las-condes-el-romanticismo-de-alex-ubago-fracaso-de-jp-flores-y-la-fiesta-de-karen-paola/"
"4","Guerra Medio Oriente","Israel comienza la liberación de 200 presos palestinos a cambio de las cuatro rehenes israelíes","https://www.latercera.com/mundo/noticia/israel-comienza-la-liberacion-de-200-presos-palestinos-a-cambio-de-las-cuatro-rehenes-israelies/LSHIPW54VBCI5KHUCM2UL37R2A/"
"5","Policial","Tras cuatro meses prófuga: capturan a integrante de banda narco desarticulada en operación Diamante Verde","https://www.latercera.com/nacional/noticia/tras-cuatro-meses-profuga-capturan-a-integrante-de-banda-narco-desarticulada-en-operacion-diamante-verde/JBWKBERP6BECVDQBZVANCTVNHQ/"
"6","Policial","Detienen a segundo involucrado en violento robo en San Bernardo que terminó con adulto mayor fallecido","https://www.latercera.com/nacional/noticia/detienen-a-segundo-involucrado-en-violento-robo-en-san-bernardo-que-termino-con-adulto-mayor-fallecido/4Y4V2ZRVQRHABD6UZTNH54ES4U/"
"7","NBA","Con LeBron James a la cabeza: la NBA da a conocer a los titulares para el All Star Game de 2025","https://www.latercera.com/el-deportivo/noticia/con-lebron-james-a-la-cabeza-la-nba-da-a-conocer-a-los-titulares-para-el-all-star-game-de-2025/AGC7JDT3JRAWVNLUHTAJINLQJE/"
"8","Shai Gilgeous-Alexander","Shai Gilgeous-Alexander se consagra como el gran favorito para el MVP tras su noche estelar con los Thunder","https://www.latercera.com/el-deportivo/noticia/shai-gilgeous-alexander-se-consagra-como-el-gran-favorito-para-el-mvp-tras-su-noche-estelar-con-los-thunder/CU3FAV4RDBBCJA4KVRZXMBEL64/"
"9","NFL","La NFL da a conocer los finalistas para la elección de los mejores jugadores de la temporada","https://www.latercera.com/el-deportivo/noticia/la-nfl-da-a-conocer-los-finalistas-para-la-eleccion-de-los-mejores-jugadores-de-la-temporada/B6THIMXVOZEMBJ7ECQ7XBEQC5U/"
"10","Sociedad","Conoce este santuario natural en la región Metropolitana: panorama de vacaciones","https://www.latercera.com/tendencias/noticia/conoce-este-santuario-natural-en-la-region-metropolitana-panorama-de-vacaciones/CBOSQW6BOZETNI3KOOPEA3F4R4/"
"11","Sociedad","5 técnicas para conseguir éxito en tus objetivos, según Harvard","https://www.latercera.com/tendencias/noticia/5-tecnicas-para-conseguir-exito-en-tus-objetivos-segun-harvard/TDS2AI4UKBA2FOJTOYPAD62CBA/"
"12","Pete Hegseth","El Senado confirma al candidato de Trump para el Pentágono tras el rechazo de dos senadoras republicanas","https://www.latercera.com/mundo/noticia/el-senado-confirma-al-candidato-de-trump-para-el-pentagono-tras-el-rechazo-de-dos-senadoras-republicanas/HADGBHND2ZGB5NQ3LLOQNXQK5M/"
"13","Fútbol","Dónde y a qué hora ver a Liverpool vs. Ipswich Town por TV y online","https://www.latercera.com/servicios/noticia/donde-y-a-que-hora-ver-a-liverpool-vs-ipswich-town-por-tv-y-online/5UWIS4DL5FCMFPWDTQ4CMK3X7E/"
"14","Estados Unidos","EEUU congela los fondos de ayuda exterior con excepción de Israel y Egipto","https://www.latercera.com/mundo/noticia/eeuu-congela-los-fondos-de-ayuda-exterior-con-excepcion-de-israel-y-egipto/OSVXS2VEHBGENCIRPWO3QYGUFE/"
"15","Guerra Medio Oriente","Cuatro rehenes liberadas por Hamas llegan a Israel en un nuevo intercambio bajo el alto el fuego en Gaza","https://www.latercera.com/mundo/noticia/cuatro-rehenes-liberadas-por-hamas-llegan-a-israel-en-un-nuevo-intercambio-bajo-el-alto-el-fuego-en-gaza/4FKMVD2OMFCSLG3JYP3ZC75TPI/"
