"","seccion","titular","enlace_noticia"
"1","Sifup","No solo es el paro del Sifup: el otro factor crucial que pone en duda el inicio de la Copa Chile","https://www.latercera.com/el-deportivo/noticia/no-solo-es-el-paro-del-sifup-el-otro-factor-crucial-que-pone-en-duda-el-inicio-de-la-copa-chile/EMQN55CSNJGCHPV2TZDNTCMUXQ/"
"2","Reino Unido","Adolescente británico es condenado a mínimo de 52 años de cárcel por crímenes de niñas","https://www.latercera.com/mundo/noticia/adolescente-britanico-es-condenado-a-minimo-de-52-anos-de-carcel-por-crimenes-de-ninas/EIHLY23W55EFBFD3IAHNWQ2KJI/"
"3","Chile","¡Esto es bueno!: así reaccionó Speed al probar un completo italiano en el centro de Santiago","https://www.latercera.com/la-tercera-tv/noticia/esto-es-bueno-asi-reacciono-speed-al-probar-un-completo-italiano-en-el-centro-de-santiago/MRPOPJPBFFA4FGOK7WSHIAAVSM/"
"4","Balonmano","Busca seguir rompiendo la historia: Chile va por un triunfo ante Noruega en el main round del Mundial de Balonmano","https://www.latercera.com/el-deportivo/noticia/busca-seguir-rompiendo-la-historia-chile-va-por-un-triunfo-ante-noruega-en-el-main-round-del-mundial-de-balonmano/QVG54ZFRCVAPTDZ7LFXOQSFALM/"
"5","Seguridad","Ley Jacinta inicia debate en la Comisión de Transporte del Senado","https://www.latercera.com/mtonline/noticia/ley-jacinta-inicia-debate-en-la-comision-de-transporte-del-senado/APDFSLCH7BBLPHX4R7S7IPYOVE/"
"6","Los Ángeles","Nuevos incendios obligan a masivas evacuaciones en Los Ángeles","https://www.latercera.com/mundo/noticia/nuevos-incendios-obligan-a-masivas-evacuaciones-en-los-angeles/3HKGK5BFJ5CE5C67JTJVEJ3GNU/"
"7","Fiscalía","Fallida compra de la casa de Allende: ministra Maya Fernández guarda silencio ante Fiscalía","https://www.latercera.com/nacional/noticia/ministra-maya-fernandez-se-acoge-a-guardar-silencio-ante-la-fiscalia-por-investigacion-de-la-fallida-compra-de-la-casa-de-allende/YD7WT42DSFFQPDZLOJMUVD2MNE/"
"8","Maya Fernández","Republicanos anuncia acusación constitucional contra ministra Fernández por fallida compra de casa de Allende","https://www.latercera.com/politica/noticia/republicanos-anuncia-acusacion-constitucional-contra-ministra-fernandez-por-fallida-compra-de-casa-de-allende/KXLC4YW5LFHXVPWWAPEBI5AYIE/"
"9","Fútbol","Venezuela vs. Chile: a qué hora y dónde ver por TV abierta el partido de la Roja Sub 20","https://www.latercera.com/el-deportivo/noticia/venezuela-vs-chile-a-que-hora-y-donde-ver-por-tv-abierta-el-partido-de-la-roja-sub-20/6VM7PI737BB7RADHTUQRTGBP3E/"
"10","Electromovilidad","Copec abre su primera estación de carga 100% eléctrica en Chile","https://www.latercera.com/mtonline/noticia/copec-abre-su-primera-estacion-de-carga-100-electrica-en-chile/FAZJZAXUFZFWDJXPKDYQ3MO2GE/"
"11","Fútbol","¿Cuántos minutos suman en sus clubes? Radiografía al presente de los nominados de la Roja Sub 20 para el Sudamericano","https://www.latercera.com/el-deportivo/noticia/cuantos-minutos-suman-en-sus-clubes-radiografia-al-presente-de-los-nominados-de-la-roja-sub-20-para-el-sudamericano/NSSTF3AMLVCDNEYOZIE7Q5KALE/"
"12","Exportaciones","Fabriquen sus productos en EEUU o enfrenten aranceles, dice Trump a empresas del mundo","https://www.latercera.com/pulso/noticia/fabriquen-sus-productos-en-eeuu-o-enfrenten-aranceles-dice-trump-a-empresas-del-mundo/BQFZ23GB7NB2JKK4SGP6BX74BI/"
"13","Fernanda Torres","El linaje de Fernanda Torres, la estrella brasileña nominada a los premios Oscar","https://www.latercera.com/culto/2025/01/23/el-linaje-de-fernanda-torres-la-estrella-brasilena-nominada-a-los-premios-oscar/"
"14","Timothée Chalamet","Timothée Chalamet se convierte en el actor más joven en ser nominado dos veces a mejor actor desde James Dean","https://www.latercera.com/culto/2025/01/23/timothee-chalamet-se-convierte-en-el-actor-mas-joven-en-ser-nominado-dos-veces-a-mejor-actor-desde-james-dean/"
"15","Universidad Católica","Tres mil abonos vendidos, una visita 3D, fechas y precios: manual para reservar un asiento en el Claro Arena","https://www.latercera.com/el-deportivo/noticia/tres-mil-abonos-vendidos-una-visita-3d-fechas-y-precios-manual-para-reservar-un-asiento-en-el-claro-arena/DEC36H3ERVB5HBCWKYM6OT5ANI/"
