"","seccion","titular","enlace_noticia"
"1","Estados Unidos","Responsables de Estados Unidos y Rusia sostendrán “una reunión de seguimiento” en Arabia Saudita","https://www.latercera.com/mundo/noticia/responsables-de-estados-unidos-y-rusia-sostendran-una-reunion-de-seguimiento-en-arabia-saudita/YUCYP6IE6RCYXJX3DWGCNQADHY/"
"2","Negocios","El proyecto de oro en Mariquina que enloqueció a la bolsa de Hong KongExclusivo suscriptor","https://www.latercera.com/pulso/noticia/el-proyecto-de-oro-en-mariquina-que-enloquecio-a-la-bolsa-de-hong-kong/WYLALOSIYRH5VAJNLTJ2D6FGRU/"
"3","Arte","Felipe Izquierdo estrena unipersonal de “La Elvira” en Teatro Zoco","https://www.latercera.com/culto/2025/02/24/felipe-izquierdo-estrena-unipersonal-de-la-elvira-en-teatro-zoco/"
"4","Minería","Filial minera de CAP pretende invertir más de US$100 millones para ampliar su mina Cerro NorteExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/filial-minera-de-cap-pretende-invertir-mas-de-us100-millones-para-ampliar-su-mina-cerro-norte/5USMHUAQ45DUJHVKY6CDCL5SAQ/"
"5","Mercado","Bicecorp ya cuenta con el número de acciones para declarar exitosa la oferta por SecurityExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/bicecorp-ya-cuenta-con-el-numero-de-acciones-para-declarar-exitosa-la-oferta-por-security/VCH2QIBSRJBF3EQO33GDDQE5TE/"
"6","Aerolíneas","Las rutas aéreas internacionales que más crecieron el año pasado: Belo Horizonte, Cuzco y MedellínExclusivo suscriptor","https://www.latercera.com/pulso/noticia/las-rutas-aereas-internacionales-que-mas-crecieron-el-ano-pasado-belo-horizonte-cuzco-y-medellin/U3L54VTALBD3HLS7K2EWC2EP4E/"
"7","Pulso PM","Cómo Porsche, Volvo y Rivian están inyectando estilos de conducción únicos en los autos autoconducidosExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/como-porsche-volvo-y-rivian-estan-inyectando-estilos-de-conduccion-unicos-en-los-autos-autoconducidos/IVWWBYTVLNBODP5WD6IDHBCIQ4/"
"8","Conaf","Baldini por bomberos vinculados a incendios en Melipilla: uno postuló a Conaf y fue rechazado por test psicológico","https://www.latercera.com/nacional/noticia/baldini-por-bomberos-vinculados-a-incendios-en-melipilla-uno-postulo-a-conaf-y-fue-rechazado-por-test-psicologico/FGE3AZJLUZFTRFFFD676Z6TY34/"
"9","Festival de Viña","“Llené el Movistar, cállate”: las 4 frases más escandalosas del comediante venezolano George Harris en Viña 2025","https://www.latercera.com/tendencias/noticia/llene-el-movistar-callate-las-4-frases-mas-escandalosas-del-comediante-venezolano-george-harris-en-vina-2025/FM4DQR6ORZHUTFLWD5DXJM5HLE/"
"10","Ministerio Público","Columna de Daniela Castillo: Protección de los fiscales, una necesidad urgente en la lucha conta el crimen organizadoExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-daniela-castillo-proteccion-de-los-fiscales-una-necesidad-urgente-en-la-lucha-conta-el-crimen-organizado/TS6PRVWRWFF63E23UOJGMMPULA/"
"11","RR.EE.","Canciller Alberto van Klaveren anuncia candidatura de Chile a la reelección para Consejo de DD.HH. de la ONU","https://www.latercera.com/nacional/noticia/canciller-alberto-van-klaveren-anuncia-candidatura-de-chile-a-la-reeleccion-para-consejo-de-ddhh-de-la-onu/2OGTX3YWHBFSVDK7OFKROXD2DI/"
"12","Fútbol","Marcelo Díaz celebra el triunfo de la U y aprovecha de criticar al humorista George Harris","https://www.latercera.com/el-deportivo/noticia/marcelo-diaz-celebra-el-triunfo-de-la-u-y-aprovecha-de-criticar-al-humorista-george-harris/XBW4ONSCEJH5ZMUK67EDASWKNU/"
"13","Festival de Viña 2025","Madre de George Harris entrega controversial consejo a sus compatriotas venezolanos tras el fracaso de su hijo en Viña","https://www.latercera.com/culto/2025/02/24/madre-de-george-harris-entrega-controversial-consejo-a-sus-compatriotas-venezolanos-tras-el-fracaso-de-su-hijo-en-vina/"
"14","Municipalidad de Renca","“El nivel de violencia no es habitual”: Municipalidad de Renca condena balacera que dejó tres fallecidos","https://www.latercera.com/nacional/noticia/el-nivel-de-violencia-no-es-habitual-municipalidad-de-renca-condena-balacera-que-dejo-tres-fallecidos/4ZDYRUTRH5AQDIDZ4GGSBTCL44/"
"15","Guerra en Ucrania","El Kremlin celebra el nuevo enfoque de Estados Unidos tras las críticas de Trump a Zelenski","https://www.latercera.com/mundo/noticia/el-kremlin-celebra-el-nuevo-enfoque-de-estados-unidos-tras-las-criticas-de-trump-a-zelenski/OIBGWE3WOBB4TG5GFNZSFK7OHI/"
