"","seccion","titular","enlace_noticia"
"1","Daniel Jadue","Fiscalía realizó reformalización a Daniel Jadue: ex-alcalde mantendrá medida cautelar de arresto domiciliario total","https://www.latercera.com/nacional/noticia/este-jueves-se-realiza-audiencia-de-reformalizacion-de-daniel-jadue/TLGX3UWOHBGL3N6TTHFWA6GROI/"
"2","Pensiones","Pensiones: Hacienda aumenta la gradualidad del alza de la cotización a 11 años si ingresos tributarios no rinden lo esperado","https://www.latercera.com/pulso/noticia/pensiones-hacienda-aumenta-la-gradualidad-del-alza-de-la-cotizacion-a-11-anos-si-ingresos-tributarios-no-rinden-lo-esperado/X7JL2P3IUNEPTODGEFYSM7APZU/"
"3","Metro","Expansión de la “Línea Cero” de Metro: inauguran nuevos estacionamientos gratuitos para bicicletas en Providencia","https://www.latercera.com/nacional/noticia/expansion-de-la-linea-cero-de-metro-inauguran-nuevos-estacionamientos-gratuitos-para-bicicletas-en-providencia/DDJRECD5UBCBRB5CW5Y6XOH6ZU/"
"4","Qué Pasa","Matrícula de mayores de 50 años en educación superior creció 157% en la última década","https://www.latercera.com/que-pasa/noticia/matricula-de-mayores-de-50-anos-en-educacion-superior-crecio-157-en-la-ultima-decada/MRF5MRHJKNBUPNJBSVP4H3DJXM/"
"5","Ronald Ojeda","Ante solicitud de fiscal venezolano: Cordero afirma que “no hay razones” para que pidan extradición de detenidos en caso Ojeda","https://www.latercera.com/nacional/noticia/ante-solicitud-de-fiscal-venezolano-cordero-afirma-que-no-hay-razones-para-que-pidan-extradicion-de-detenidos-en-caso-ojeda/K2NDUXP445G6THGVM574S65FGI/"
"6","Negocios","A los 80 años fallece Ricardo Ariztía, expresidente de los grandes empresarios e histórico dirigente agrícolaExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/a-los-80-anos-fallece-ricardo-ariztia-expresidente-de-los-grandes-empresarios-e-historico-dirigente-agricola/M2OGCHAEJZHQHFXCXPTG57NJ5U/"
"7","Libros","Escritor argentino Guillermo Saccomanno gana el Premio Alfaguara de Novela 2025","https://www.latercera.com/culto/2025/01/23/escritor-argentino-guillermo-saccomanno-gana-el-premio-alfaguara-de-novela-2025/"
"8","Voces","Columna de Daniel Rodríguez: Profesores y EstadoExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-daniel-rodriguez-profesores-y-estado/A5VVF7YTRNADNHUR4BQDUVO624/"
"9","Tren de Aragua","El nexo de Niño Guerrero con Chile y el crimen de Ronald Ojeda","https://www.latercera.com/nacional/noticia/el-nexo-de-nino-guerrero-con-chile-y-el-crimen-de-ronald-ojeda/TLNZFFMZUNELBBISCZVKMXOFXQ/"
"10","Tailandia","Cientos de parejas LGBTQ+ dieron el “sí” en Tailandia tras entrar en vigor el matrimonio igualitario","https://www.latercera.com/la-tercera-tv/noticia/cientos-de-parejas-lgbtq-dieron-el-si-en-tailandia-tras-entrar-en-vigor-el-matrimonio-igualitario/V2QI6CHEHVHPNA5NQHMYEJ2BKA/"
"11","Negocios","Otra inversión de Alejandro Weinstein: ingresa a la empresa de bioteconología israelí Pluri","https://www.latercera.com/pulso-pm/noticia/otra-inversion-de-alejandro-weinstein-ingresa-a-la-empresa-de-bioteconologia-israeli-pluri/GFZKMVNPNBEJ5MOJ4LYG5UFGSA/"
"12","Premios Oscar","Premios Oscar: cuándo llegan a Chile las nominadas a Mejor película","https://www.latercera.com/culto/2025/01/23/premios-oscar-cuando-llegan-a-chile-las-nominadas-a-mejor-pelicula/"
"13","Opinión","La columna de Francisco Gallego: “El pasillo estrecho al desarrollo: algunas aplicaciones a Chile”Exclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/la-columna-de-francisco-gallego-el-pasillo-estrecho-al-desarrollo-algunas-aplicaciones-a-chile/IPCXMFN4DJGLRPUVIPU7GIITVQ/"
"14","Pulso PM","Fin a vacío legal: Hacienda incluye a las tarjetas de prepago al deber de informar sobre 50 transacciones al mesExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/fin-a-vacio-legal-hacienda-incluye-a-las-tarjetas-de-prepago-al-deber-de-informar-sobre-50-transacciones-al-mes/KRMRSV463BHZ7AUSBVQYJPM2PY/"
"15","Minería","Anglo American denuncia millonario fraude interno y presenta querella contra ex funcionarioExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/anglo-american-denuncia-millonario-fraude-interno-y-presenta-querella-contra-ex-funcionario/VG6GY5FFF5HYRK5BGH3RGD6NTA/"
