"","seccion","titular","enlace_noticia"
"1","Festival de Viña 2025","“Con todo respeto, Alberto Plaza”: El mensaje que le envió Chiqui Aguayo al músico en Viña 2025","https://www.latercera.com/culto/2025/02/25/con-todo-respeto-alberto-plaza-el-mensaje-que-le-envio-chiqui-aguayo-al-musico-en-vina-2025/"
"2","Festival de Viña 2025","Chiqui Aguayo y los destacados personajes que hizo en El club de la comedia","https://www.latercera.com/culto/2025/02/25/chiqui-aguayo-y-los-destacados-personajes-que-hizo-en-el-club-de-la-comedia/"
"3","Festival de Viña 2025","La infinita batalla entre Chiqui Aguayo y Alberto Plaza","https://www.latercera.com/culto/2025/02/25/la-infinita-batalla-entre-chiqui-aguayo-y-alberto-plaza/"
"4","Festival de Viña 2025","¿Por qué se entrega la Gaviota de Platino en el Festival de Viña? Los requisitos que deben cumplir los artistas","https://www.latercera.com/culto/2025/02/25/por-que-se-entrega-la-gaviota-de-platino-en-el-festival-de-vina-los-requisitos-que-deben-cumplir-los-artistas/"
"5","Festival de Viña 2025","Debido a una crisis vocacional: así fue como Chiqui Aguayo llegó a ser comediante","https://www.latercera.com/culto/2025/02/25/debido-a-una-crisis-vocacional-asi-fue-como-chiqui-aguayo-llego-a-ser-comediante/"
"6","Festival de Viña 2025","Columna: Myriam Hernández, la nota alta","https://www.latercera.com/culto/2025/02/25/columna-myriam-hernandez-la-nota-alta/"
"7","Teniente Ojeda","Tohá anuncia que Chile presentará antecedentes del asesinato del teniente Ojeda ante Corte de la Haya","https://www.latercera.com/nacional/noticia/toha-anuncia-que-chile-presentara-antecedentes-del-asesinato-del-teniente-ojeda-ante-corte-de-la-haya/PM5OHZVLCFE77L7UDCQ6Q7IL6U/"
"8","Fútbol","El duro lamento de Arturo Vidal por su nueva lesión en la caída de Colo Colo: “Empiezo a dudar cada vez que me pasa algo así”","https://www.latercera.com/el-deportivo/noticia/el-duro-lamento-de-arturo-vidal-por-su-nueva-lesion-en-la-caida-de-colo-colo-empiezo-a-dudar-cada-vez-que-me-pasa-algo-asi/APIGAZ4O7RBZPHCCLZCKZMSSCA/"
"9","Festival de Viña 2025","“Estoy embarazada”: Myriam Hernández revela importante etapa de su carrera en el escenario de Viña 2025","https://www.latercera.com/culto/2025/02/24/estoy-embarazada-myriam-hernandez-revela-importante-etapa-de-su-carrera-en-el-escenario-de-vina-2025/"
"10","Fútbol","“Hay cosas que debo hablar con los jugadores”: la advertencia de Jorge Almirón tras la derrota de Colo Colo ante O’Higgins","https://www.latercera.com/el-deportivo/noticia/hay-cosas-que-debo-hablar-con-los-jugadores-la-advertencia-de-jorge-almiron-tras-la-derrota-de-colo-colo-ante-ohiggins/UQ4VGFF4EBHFLPTEH43M2JFELI/"
"11","Festival de Viña 2025","Myriam Hernández hace historia al recibir Gaviota de Platino en un show que la consagra como leyenda de la música chilena","https://www.latercera.com/culto/2025/02/24/myriam-hernandez-hace-historia-al-recibir-gaviota-de-platino-en-un-show-que-la-consagra-como-leyenda-de-la-musica-chilena/"
"12","Festival de Viña 2025","Entre lágrimas y con sus hijos, Myriam Hernández se convierte en la primera mujer en recibir la Gaviota de Platino en Viña","https://www.latercera.com/culto/2025/02/24/entre-lagrimas-y-con-sus-hijos-myriam-hernandez-se-convierte-en-la-primera-mujer-en-recibir-la-gaviota-de-platino-en-vina/"
"13","Festival de Viña 2025","Ahora Myriam Hernández: qué otros artistas han ganado Gaviota de Platino","https://www.latercera.com/culto/2025/02/24/ahora-myriam-hernandez-que-otros-artistas-han-ganado-gaviota-de-platino/"
"14","Festival de Viña 2025","Myriam Hernández deslumbra junto a los Power Peralta en Viña 2025 con una impactante coreografía","https://www.latercera.com/culto/2025/02/24/myriam-hernandez-deslumbra-junto-a-los-power-peralta-en-vina-2025-con-una-impactante-coreografia/"
"15","Festival de Viña 2025","“Podemos levantarnos”: el sentido mensaje de Myriam Hernández en Viña 2025 tras su divorcio","https://www.latercera.com/culto/2025/02/24/podemos-levantarnos-el-sentido-mensaje-de-myriam-hernandez-en-vina-2025-tras-su-divorcio/"
