"","seccion","titular","enlace_noticia"
"1","Incendios forestales","A un año del megaincendio: gobierno cifra en 25% avance en las medidas del plan integral de reconstrucción","https://www.latercera.com/nacional/noticia/a-un-ano-del-megaincendio-gobierno-cifra-en-25-avance-en-las-medidas-del-plan-integral-de-reconstruccion/7GCGAKI33JGI3KWWOPCHC5XAK4/"
"2","Qué Pasa","¿Estamos solos? NASA encuentra 14  compuestos esenciales para la vida en un asteroide","https://www.latercera.com/que-pasa/noticia/estamos-solos-nasa-encuentra-14-compuestos-esenciales-para-la-vida-en-un-asteroide/3VFPB4CRTZCFDEC3XKLISBAISE/"
"3","Qué Pasa","¿Qué es el puppy yoga y por qué está ganado tanta popularidad?","https://www.latercera.com/que-pasa/noticia/que-es-el-puppy-yoga-y-por-que-esta-ganado-tanta-popularidad/LO3S3IVT7ZCGBLVC7EN722U4OU/"
"4","Geopolítica","Asesinan a tiros a un hombre que quemó ejemplares del Corán durante una transmisión en vivo de TikTok","https://www.latercera.com/tendencias/noticia/asesinan-a-tiros-a-un-hombre-que-quemo-ejemplares-del-coran-durante-una-transmision-en-vivo-de-tiktok/5M27IMYTAREHLM4S37YJEFXJOU/"
"5","Washington","Recuperan al menos 40 cuerpos de las 67 víctimas del accidente aéreo en Washington","https://www.latercera.com/mundo/noticia/recuperan-al-menos-40-cuerpos-de-las-67-victimas-del-accidente-aereo-en-washington/CEZIDF4GCVALHAZHL55TMXJFUM/"
"6","Fútbol","“Hay que ponerle un poquito más de voluntad”: Javier Correa se lanza contra el estado del césped del Monumental","https://www.latercera.com/el-deportivo/noticia/hay-que-ponerle-un-poquito-mas-de-voluntad-javier-correa-se-lanza-contra-el-estado-del-cesped-del-monumental/IU2SJULVJRHP5L5J5HTENEF3N4/"
"7","Fútbol","Gustavo Álvarez lo dirigió y fue figura en Everton: quién es Lucas Di Yorio, el nuevo delantero de la U","https://www.latercera.com/el-deportivo/noticia/gustavo-alvarez-lo-dirigio-y-fue-figura-en-everton-quien-es-lucas-di-yorio-el-nuevo-delantero-de-la-u/CNJIYV343NEI7E5PBMLVOKPKRE/"
"8","Novak Djokovic","“¿Qué más quieres hacer?“: Novak Djokovic revela las presiones de su padre para que se retire del tenis","https://www.latercera.com/el-deportivo/noticia/que-mas-quieres-hacer-novak-djokovic-revela-las-presiones-de-su-padre-para-que-se-retire-del-tenis/V4ADPUJOWFFW3JH72XMV4XZXJQ/"
"9","Marcus Rashford","“Debería ser expulsado del vestuario”: histórico del Manchester United explota contra Marcus Rashford","https://www.latercera.com/el-deportivo/noticia/deberia-ser-expulsado-del-vestuario-historico-del-manchester-united-explota-contra-marcus-rashford/6U5M3UR3SBFBJLR2DXE7YFELQY/"
"10","Claudio Baeza","Claudio Baeza firma en Vélez con el corazón roto: “Estoy triste; hice todo para estar en el centenario de Colo Colo”","https://www.latercera.com/el-deportivo/noticia/claudio-baeza-firma-en-velez-con-el-corazon-roto-estoy-triste-hice-todo-para-estar-en-el-centenario-de-colo-colo/565SEAE5PVFKXN2AYIAQZRBPP4/"
"11","Fútbol","Las millonarias cifras que envuelven el traspaso de Rodrigo Echeverría al León de México","https://www.latercera.com/el-deportivo/noticia/las-millonarias-cifras-que-envuelven-el-traspaso-de-rodrigo-echeverria-al-leon-de-mexico/QSOJFFI42FDFBJKTYSIZEMCLAQ/"
"12","Qué Pasa","¿Son reales las lesiones de Novak Djokovic?","https://www.latercera.com/que-pasa/noticia/son-reales-las-lesiones-de-novak-djokovic/BGWPWVJU65ACFHFI3I5CGZSFFE/"
"13","Policial","Conductor muere tras chocar con vehículo que realizaba trabajos en el Acceso Sur","https://www.latercera.com/nacional/noticia/conductor-muere-tras-chocar-con-vehiculo-que-realizaba-trabajos-en-el-acceso-sur/MEE5KAVMHZH4HP4O5UV546AYS4/"
"14","Policial","Carabineros detiene a sujeto en Recoleta y recupera vehículo con encargo por robo","https://www.latercera.com/nacional/noticia/carabineros-detiene-a-sujeto-en-recoleta-y-recupera-vehiculo-con-encargo-por-robo/EBPGMWDNOZDBBNIRSNKPLZL4EY/"
"15","Sismo","Temblor hoy, viernes 31 de enero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-viernes-31-de-enero-en-chile-consulta-epicentro-y-magnitud/KMMCIUMBXRHNJCZ2OHSBT7RG5I/"
