"","seccion","titular","enlace_noticia"
"1","Alerta Roja","Senapred declara alerta roja en la comuna de Rancagua por incendio forestal cercano a sectores poblados","https://www.latercera.com/nacional/noticia/senapred-declara-alerta-roja-en-la-comuna-de-rancagua-por-incendio-forestal-cercano-a-sectores-poblados/TGNXOFV32FBRDO6YMTI6EFCFDY/"
"2","Mercados","Lo que cambia con la llegada de Deepseek","https://www.latercera.com/videopodcast/money-talks/lo-que-cambia-con-la-llegada-de-deepseek/"
"3","La U","Se acabó la incertidumbre: autorizan el partido entre Deportes Recoleta y la U en La Florida","https://www.latercera.com/el-deportivo/noticia/se-acabo-la-incertidumbre-autorizan-el-partido-entre-deportes-recoleta-y-la-u-en-la-florida/OQ5BX3L4XFEF3FCGI6EUZ2CC3E/"
"4","Illapu","Illapu prepara concierto sinfónico en Movistar Arena","https://www.latercera.com/culto/2025/01/28/illapu-prepara-concierto-sinfonico-en-movistar-arena/"
"5","UDI","Previo a votación: UDI reafirma su apoyo a reforma de pensiones, pero advierte que rechazarán “cualquier cambio que se aleje del acuerdo”","https://www.latercera.com/politica/noticia/previo-a-votacion-udi-reafirma-su-apoyo-a-reforma-de-pensiones-pero-advierte-que-rechazaran-cualquier-cambio-que-se-aleje-del-acuerdo/6TSE2YBQIZEQDNYFIUM5ZOTC7I/"
"6","Gabriel Boric","“La ultra derecha chilena no dio la unanimidad”: Boric por uso de facultad constitucional para votar pensiones en la Cámara","https://www.latercera.com/politica/noticia/la-ultra-derecha-chilena-no-dio-la-unanimidad-boric-por-uso-de-facultad-constitucional-para-votar-pensiones-en-la-camara/6JSGH7HLWBFXVCBK7USFIMA6CU/"
"7","Minería","Minera ligada a las familias Hurtado Vicuña y Fernández León concluye financiamiento para el proyecto minero El EspinoExclusivo suscriptor","https://www.latercera.com/pulso/noticia/minera-ligada-a-las-familias-hurtado-vicuna-y-fernandez-leon-concluye-financiamiento-para-el-proyecto-minero-el-espino/BN5UJZI7JJEVZAZOE2HZAXJQ6E/"
"8","Cine","Dónde ver las películas nominadas a los Premios Oscar 2025","https://www.latercera.com/servicios/noticia/donde-ver-las-peliculas-nominadas-a-los-premios-oscar-2025/OVD2MSKIWJF4FFZ7ZEAUVJXNGU/"
"9","Fútbol","Manchester City vs. Brujas: a qué hora y dónde ver el partido de Champions League por TV y streaming","https://www.latercera.com/el-deportivo/noticia/manchester-city-vs-brujas-a-que-hora-y-donde-ver-el-partido-de-champions-league-por-tv-y-streaming/MC4CVHOFLFBCZML54K3M5WC4UQ/"
"10","Elecciones","Tohá evita fijar plazos para definir opción presidencial y asegura que consideración clave es: “Dónde uno sirve más”","https://www.latercera.com/politica/noticia/toha-evita-fijar-plazos-para-definir-opcion-presidencial-y-asegura-que-consideracion-clave-es-donde-uno-sirve-mas/2WB63LU6KNCW7GB4AA5AIFXXPE/"
"11","Arte","“Hay poca empatía”: organizaciones culturales denuncian retraso en entrega de fondos por parte del Ministerio de las Culturas","https://www.latercera.com/culto/2025/01/28/hay-poca-empatia-organizaciones-culturales-denuncian-retraso-en-entrega-de-fondos-por-parte-del-ministerio-de-las-culturas/"
"12","Fútbol","Brest vs. Real Madrid: a qué hora y dónde ver el partido de Champions League por TV y streaming","https://www.latercera.com/el-deportivo/noticia/brest-vs-real-madrid-a-que-hora-y-donde-ver-el-partido-de-champions-league-por-tv-y-streaming/MKU5YP6WTRAB7JWOESXF5NSPQY/"
"13","Fútbol","Barcelona vs. Atalanta: a qué hora y dónde ver el partido de Champions League por TV y streaming","https://www.latercera.com/el-deportivo/noticia/barcelona-vs-atalanta-a-que-hora-y-donde-ver-el-partido-de-champions-league-por-tv-y-streaming/LXK5ENUTW5AYPEC7Z7NCIXNW5E/"
"14","lt-board","Pocos resultados concretos: la principal crítica a casi dos años del Plan Calles sin Violencia","https://www.latercera.com/lt-board/noticia/pocos-resultados-concretos-la-principal-critica-a-casi-dos-anos-del-plan-calles-sin-violencia/57A53SVF3JBHTNPH4PQY2YHA7U/"
"15","lt-board","Todo lo que hay que saber para cuidar a las mascotas en estos días de verano","https://www.latercera.com/lt-board/noticia/todo-lo-que-hay-que-saber-para-cuidar-a-las-mascotas-en-estos-dias-de-verano/TMUYEEZCLZE3DILWYDJ76FJTXQ/"
