"","seccion","titular","enlace_noticia"
"1","Sociedad","Este es el histórico mall chileno que volverá a abrir sus puertas","https://www.latercera.com/tendencias/noticia/este-es-el-historico-mall-chileno-que-volvera-a-abrir-sus-puertas/D4DMK4CA6JHFBMNGJE2U25ODDE/"
"2","Sismo","Temblor hoy, jueves 30 de enero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-jueves-30-de-enero-en-chile-consulta-epicentro-y-magnitud/Z3HB6OKXGZHP7ABCCGZEV3PYTA/"
"3","Policial","Utilizando su arma de fuego detective de la PDI frustra encerrona en Ñuñoa","https://www.latercera.com/nacional/noticia/utilizando-su-arma-de-fuego-detective-de-la-pdi-frustra-encerrona-en-nunoa/TV2IT62BRZATXH5CB3WPHVM3LQ/"
"4","Las claves del día","Dónde poner atención: las claves de hoy, jueves 30 de enero de 2025Exclusivo suscriptor","https://www.latercera.com/servicios/noticia/donde-poner-atencion-las-claves-de-hoy-jueves-30-de-enero-de-2025/LT6HDJFHCRHOXJBJQU3W2VMA3M/"
"5","Estados Unidos","El Gobierno de Trump cancelará los visados de estudiante a los manifestantes propalestinos","https://www.latercera.com/mundo/noticia/el-gobierno-de-trump-cancelara-los-visados-de-estudiante-a-los-manifestantes-propalestinos/ZGMLLD2BPZEQ7KBWDQK4WBLKHY/"
"6","Estados Unidos","Donald Trump se refiere a fatal accidente aéreo: “El helicóptero estuvo dirigiéndose hacia el avión durante un largo  tiempo”","https://www.latercera.com/mundo/noticia/donald-trump-se-refiere-a-fatal-accidente-aereo-el-helicoptero-estuvo-dirigiendose-hacia-el-avion-durante-un-largo-tiempo/PT7SKXHDVRAO5EZ5XZQD4NWHAI/"
"7","EE.UU","Los registros de la impactante colisión entre un avión comercial y helicóptero militar en Washington DC","https://www.latercera.com/mundo/noticia/los-registros-de-la-impactante-colision-entre-un-avion-comercial-y-helicoptero-militar-en-washington-dc/EY5NRLPXARAHBJHELG4FEWYXH4/"
"8","Reforma de pensiones","Las claves de la reforma de pensiones aprobada en el Congreso","https://www.latercera.com/nacional/noticia/las-claves-de-la-reforma-de-pensiones-aprobada-en-el-congreso/PR3FMEXYYNDKTKIDJLFZK657PI/"
"9","EE.UU.","Avión comercial con 64 personas y helicóptero militar chocan cerca de aeropuerto en Washington DC","https://www.latercera.com/mundo/noticia/helicoptero-militar-y-avion-chocan-cerca-de-aeropuerto-en-washington/SSD6ZGXOWJE5DBCHNFUIIESNM4/"
"10","Copihue de Oro","Estos fueron los ganadores del premio Copihue de Oro de La Cuarta","https://www.latercera.com/tendencias/noticia/estos-fueron-los-ganadores-del-premio-copihue-de-oro-de-la-cuarta/GYVZ3KMOAVD3PNMWH65KU4MVSQ/"
"11","Fútbol","River Plate logra agónico triunfo gracias a una jugada clave de Paulo Díaz y con Gonzalo Tapia en el segundo tiempo","https://www.latercera.com/el-deportivo/noticia/river-plate-logra-agonico-triunfo-gracias-a-una-jugada-clave-de-paulo-diaz-y-con-gonzalo-tapia-en-el-segundo-tiempo/N7YE33FNYJBCHC6OKVKCIQNEP4/"
"12","Fútbol","Chile clasifica al hexagonal final del Sudamericano Sub 20 luego de 12 años","https://www.latercera.com/el-deportivo/noticia/chile-clasifica-al-hexagonal-final-del-sudamericano-sub-20-luego-de-12-anos/VOSZCCL6ABGOHLQ5ZKBRUP4ELI/"
"13","Cuba","Cuba califica como “acto de brutalidad” anuncio de Trump sobre posible envío de migrantes a Guantánamo","https://www.latercera.com/mundo/noticia/cuba-califica-como-acto-de-brutalidad-anuncio-de-trump-sobre-posible-envio-de-migrantes-a-guantanamo/TKZCH2QG2BGW7AWLINQOSSEZYE/"
"14","EE.UU.","Trump aprueba polémica ley “Laken Riley”, inspirada en el asesinato de una joven estudiante a manos de venezolano indocumentado","https://www.latercera.com/mundo/noticia/trump-aprueba-polemica-ley-laken-riley-inspirada-en-el-asesinato-de-una-joven-estudiante-a-manos-de-venezolano-indocumentado/4U2WXI34CNGSLMD2KBJXM4MO6A/"
"15","Reforma previsional","Gobierno da el vamos a despliegue comunicacional para capitalizar aprobación de reforma de pensiones","https://www.latercera.com/nacional/noticia/gobierno-da-el-vamos-a-despliegue-comunicacional-para-capitalizar-aprobacion-de-reforma-de-pensiones/GZHO4V4DWZCDHNAHSXTWYZTJLQ/"
