"","seccion","titular","enlace_noticia"
"1","Gobierno","Ministro Delgado dice que pedirán extender Estado de Emergencia en Macrozona Sur hasta el 11 de marzo","https://www.latercera.com/nacional/noticia/ministro-delgado-dice-que-pediran-extender-estado-de-emergencia-en-macrozona-sur-hasta-el-11-de-marzo/X7R2C7GMDBDMDOAXBXE7JB7YXI/"
"2","Coronavirus","Estos son los lugares más probables donde podrías contagiarte con la variante Ómicron","https://www.latercera.com/que-pasa/noticia/estos-son-los-lugares-mas-probables-donde-podrias-contagiarte-con-la-variante-omicron/R5NOWUG5OFGGHCZ47KLFVMH5AU/"
"3","Convención Constitucional","Convención Constitucional retoma elección para nueva Mesa Directiva tras ocho votaciones sin consenso","https://www.latercera.com/politica/noticia/convencion-constitucional-retoma-eleccion-para-nueva-mesa-directiva-tras-ocho-votaciones-sin-consenso/OMFXRPMA65GCNARXQRSQMXM7LU/"
"4","Pintura","Amanda Kurt: la historia de la mujer tras los cuadros del destacado pintor chileno Guillermo Lorca","https://www.latercera.com/culto/2022/01/05/amanda-kurt-la-historia-de-la-mujer-tras-los-cuadros-del-destacado-pintor-chileno-guillermo-lorca/"
"5","Covid-19","Cámara aprueba y despacha a ley proyecto que establece descanso compensatorio a trabajadores de la salud","https://www.latercera.com/nacional/noticia/camara-aprueba-y-despacha-a-ley-proyecto-que-establece-descanso-compensatorio-a-trabajadores-de-la-salud/JBKRW56TWBGRLAGMJA5OVXC6OY/"
"6","Morbius","Un rumor sostiene que Sony habría retrasado el estreno de Morbius debido a Spider-Man: No Way Home","https://www.latercera.com/mouse/un-rumor-sostiene-que-sony-habria-retrasado-el-estreno-de-morbius-debido-a-spider-man-no-way-home/"
"7","Minuto a minuto","16.00 En vivo: Real Valladolid vs. Real Betis","https://www.latercera.com/el-deportivo/noticia/1600-en-vivo-real-valladolid-vs-real-betis/5G3SD2IRG5G4XCUZY7GDUQPDDM/"
"8","Ciencia","¿Hubo vida en Marte? ¿Es posible cambiar el curso de un asteroide? ¿Volverá el hombre a la Luna? Estas son las principales misiones espaciales de 2022","https://www.latercera.com/que-pasa/noticia/hubo-vida-en-marte-es-posible-cambiar-el-curso-de-un-asteroide-volvera-el-hombre-a-la-luna-estas-son-las-principales-misiones-espaciales-de-2022/5GCIRPN7QVHWXDKWSA6K5DSHFA/"
"9","Uncharted","Tom Holland dice que la búsqueda de un director para la película de Uncharted fue “un proceso interesante, en el que no me gustaría estar de nuevo”","https://www.latercera.com/mouse/tom-holland-dice-que-la-busqueda-de-un-director-para-la-pelicula-de-uncharted-fue-un-proceso-interesante-en-el-que-no-me-gustaria-estar-de-nuevo/"
"10","Ubisoft","Rainbow Six Extraction estará disponible desde el día 1 en Xbox Game Pass","https://www.latercera.com/mouse/rainbow-six-extraction-estara-disponible-desde-el-dia-1-en-xbox-game-pass/"
"11","Migraciones","Análisis de gobierno señala que entre 2015 y 2017 se generó una irregularidad de 407.443 migrantes y de 6.791 entre 2018 y 2020","https://www.latercera.com/nacional/noticia/analisis-de-gobierno-senala-que-entre-2015-y-2017-se-genero-una-irregularidad-de-407443-migrantes-y-de-6791-entre-2018-y-2020/SKMBHPBZVBBWBMXFKB2TW7EEWA/"
"12","Refuerzos Azules","Jeisson Vargas y sus casos de violencia: “Son temas que están aclarados y cerrados legalmente”","https://www.latercera.com/el-deportivo/noticia/jeisson-vargas-y-sus-casos-de-violencia-son-temas-que-estan-aclarados-y-cerrados-legalmente/5VGYWR3Q2JDSHF3BOTOJBRRBAY/"
"13","Litio","Jobet buscará un “consenso amplio” con equipo de Boric ante reparos por proceso de licitación del litio","https://www.latercera.com/pulso/noticia/jobet-buscara-un-consenso-amplio-con-equipo-de-boric-ante-reparos-por-proceso-de-licitacion-del-litio/CZLE6W6MTJFRHK4ZEUWRG55RQQ/"
"14","Innovación","Vesna Mandakovic, de la UDD: “La pandemia nos exigió a todos responder de manera ágil, e innovar fue una necesidad para poder subsistir”","https://www.latercera.com/pulso/noticia/vesna-mandakovic-de-la-udd-la-pandemia-nos-exigio-a-todos-responder-de-manera-agil-e-innovar-fue-una-necesidad-para-poder-subsistir/VLU7AN3GVBHUHNXZDJLVRILGRA/"
"15","Cine","Del Toro, Larraín y Verhoeven: las películas que veremos en enero y febrero","https://www.latercera.com/culto/2022/01/05/del-toro-larrain-y-verhoeven-las-peliculas-que-veremos-en-enero-y-febrero/"
