"","seccion","titular","enlace_noticia"
"1","Conciertos","Contra las cancelaciones: Tini, Dios Salve a la Reina y Cultura Profética confirman sus shows en la Quinta Vergara","https://www.latercera.com/culto/2022/02/09/contra-las-cancelaciones-tini-dios-salve-a-la-reina-y-cultura-profetica-confirman-sus-shows-en-la-quinta-vergara/"
"2","Cine","Russell Crowe será parte de la película de Kraven","https://www.latercera.com/mouse/russell-crowe-sera-parte-de-la-pelicula-de-kraven/"
"3","Fútbol","Oroz, en la ruta de los grandes de Colo Colo: el delantero es quien demoró menos en marcar en su debut","https://www.latercera.com/el-deportivo/noticia/oroz-en-la-ruta-de-los-grandes-de-colo-colo-el-delantero-es-quien-demoro-menos-en-marcar-en-su-debut/OIOHJKXTYNCEDEVOFCXDACSDXQ/"
"4","Fútbol","Álvaro Brun, el as bajo la manga que tiene la Universidad de Chile ante la negativa de Ojeda","https://www.latercera.com/el-deportivo/noticia/alvaro-brun-el-as-bajo-la-manga-que-tiene-la-universidad-de-chile-ante-la-negativa-de-ojeda/P2SNH4NJXBGJVDLFHJIVHXITD4/"
"5","Emergencia","1.357 hectáreas afectadas: incendio forestal en Tierra del Fuego se encuentra “parcialmente contenido”","https://www.latercera.com/nacional/noticia/1357-hectareas-afectadas-incendio-forestal-en-tierra-del-fuego-se-encuentra-parcialmente-contenido/ORLLQ74LKZASTN67IC3TQWNBNM/"
"6","Starlink","Tormenta geotérmica destruye el 80% de los satélites del proyecto Starlink lanzados por Elon Musk","https://www.latercera.com/que-pasa/noticia/tormenta-geotermica-destruye-el-80-de-los-satelites-del-proyecto-starlink-lanzados-por-elon-musk/57MEA65JAFBN3JTHTIWCFW3EOQ/"
"7","Astronomía","Observación astronómica dentro y fuera del planeta: ¿Cómo conviven y se complementan los telescopios terrestres y satelitales?","https://www.latercera.com/que-pasa/noticia/observacion-astronomica-dentro-y-fuera-del-planeta-como-conviven-y-se-complementan-los-telescopios-terrestres-y-satelitales/UVA4WSOPKREA7O3IKRWO3IMOOA/"
"8","Fútbol","El Chelsea será el rival del Palmeiras en la final del Mundial de Clubes","https://www.latercera.com/el-deportivo/noticia/el-chelsea-sera-el-rival-del-palmeiras-en-la-final-del-mundial-de-clubes/IWDKFJ2SCZFELFG7VM3D2NN2WY/"
"9","Policial","Fiscalía indaga la muerte de una mujer baleada en el Parque Los Reyes","https://www.latercera.com/nacional/noticia/fiscalia-indaga-la-muerte-de-una-mujer-baleada-en-el-parque-los-reyes/RLFGTZT3CJE63GTG76DZZYX5PM/"
"10","Star Wars","Ewan McGregor está feliz de realizar una producción para los fans de las precuelas y tanteó escenas entre Anakin y Kenobi en la serie de Obi-Wan","https://www.latercera.com/mouse/ewan-mcgregor-esta-feliz-de-realizar-una-produccion-para-los-fans-de-las-precuelas-y-tanteo-escenas-entre-anakin-y-kenobi-en-la-serie-de-obi-wan/"
"11","Región de Magallanes","Sensor satelital muestra la magnitud del incendio forestal en Timaukel","https://www.latercera.com/la-tercera-tv/noticia/sensor-satelital-muestra-la-magnitud-del-incendio-forestal-en-timaukel/PPXXPVHB35HIJO7CJMC2T45PV4/"
"12","Ciencia","¿Qué comían Los Picapiedra?","https://www.latercera.com/que-pasa/noticia/que-comian-los-picapiedra/RPGRQQ53GJGC5IDONRAMHYWPFE/"
"13","Morbius","Un nuevo póster de Morbius quiere convencernos de que la película finalmente se estrenará en abril","https://www.latercera.com/mouse/un-nuevo-poster-de-morbius-quiere-convencernos-de-que-la-pelicula-finalmente-se-estrenara-en-abril/"
"14","Coronavirus","Coinfección con hongos en pacientes enfermos de Covid-19: cinco razones que aumentan este riesgo","https://www.latercera.com/que-pasa/noticia/coinfeccion-con-hongos-en-pacientes-enfermos-de-covid-19-cinco-razones-que-aumentan-este-riesgo/ZO5YR7KTORDTREAYUSB3GN7MKY/"
"15","Club Paula Cocina","5 restaurantes para comer pizza en Santiago","https://www.latercera.com/paula-cocina/noticia/5-restaurantes-para-comer-pizza-en-santiago/R3MLRPAX5NHWVPBSO6EVKZAXAE/"
