"","seccion","titular","enlace_noticia"
"1","Fútbol","El tenso intercambio entre Mikel Arteta y el árbitro Michael Oliver tras heroico triunfo del Arsenal en Premier League","https://www.latercera.com/el-deportivo/noticia/el-tenso-intercambio-entre-mikel-arteta-y-el-arbitro-michael-oliver-tras-heroico-triunfo-del-arsenal-en-premier-league/F4E2CRAZWJABHOD6LJMEC7LGGQ/"
"2","Donald Trump","Trump defiende que los migrantes deportados estén esposados porque “son asesinos, miembros de pandillas”","https://www.latercera.com/mundo/noticia/trump-defiende-que-los-migrantes-deportados-esten-esposados-porque-son-asesinos-miembros-de-pandillas/5HIY43L6LBHTNPPAVE3HDTACLY/"
"3","Fútbol","“Tenía un futuro espectacular”: el día en que Rodrigo Contreras, nuevo delantero de la U, estuvo a un paso de la Juventus","https://www.latercera.com/el-deportivo/noticia/tenia-un-futuro-espectacular-el-dia-en-que-rodrigo-contreras-nuevo-delantero-de-la-u-estuvo-a-un-paso-de-la-juventus/A62MOL4AQFDF5OSBDXGRFG4MWE/"
"4","Fútbol","Ni goles ni asistencias en 179 minutos: el bajo nivel de Damián Pizarro golpea a la Roja Sub 20 en el Sudamericano","https://www.latercera.com/el-deportivo/noticia/ni-goles-ni-asistencias-en-179-minutos-el-bajo-nivel-de-damian-pizarro-golpea-a-la-roja-sub-20-en-el-sudamericano/WI7GRQP6PZCELG6OX26UAUWYHQ/"
"5","Ciencia","Astrónomos anunciaron el hallazgo de un asteroide cerca de la Tierra, pero era un auto Tesla que Elon Musk lanzó al espacio","https://www.latercera.com/tendencias/noticia/astronomos-anunciaron-el-hallazgo-de-un-asteroide-cerca-de-la-tierra-pero-era-un-auto-tesla-que-elon-musk-lanzo-al-espacio/BDRMG3IUXRBGJEPBCL2B5SMEC4/"
"6","Guerra Medio Oriente","La ONU dice que el plan de Trump para desplazar a población de Gaza podría causar “una limpieza étnica”","https://www.latercera.com/mundo/noticia/la-onu-dice-que-el-plan-de-trump-para-desplazar-a-poblacion-de-gaza-podria-causar-una-limpieza-etnica/PNCZ2P5OAJHRBGLAG6U6TS2ABE/"
"7","Policial","Hombre muere electrocutado en Cerrillos: Habría intentado robar cables del tendido eléctrico","https://www.latercera.com/nacional/noticia/hombre-muere-electrocutado-en-cerrillos-habria-intentado-robar-cables-del-tendido-electrico/Z7YEN3EXQ5B63KUNAWI455NWBQ/"
"8","Sismo","Temblor hoy, martes 28 de enero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-martes-28-de-enero-en-chile-consulta-epicentro-y-magnitud/Q4M7ZVF5QBBW5HCOJHUYVQ56MM/"
"9","Sociedad","Turista argentino sorprendido por las carreteras en Chile y cómo manejan los chilenos","https://www.latercera.com/tendencias/noticia/turista-argentino-sorprendido-por-las-carreteras-en-chile-y-como-manejan-los-chilenos/AK2TP7RW5NBOFDBIIMFPRFSTYU/"
"10","China","Cómo está actualmente Wuhan, la “zona cero” de la pandemia del coronavirus","https://www.latercera.com/tendencias/noticia/como-esta-actualmente-wuhan-la-zona-cero-de-la-pandemia-del-coronavirus/C7RJNSUKG5FKHIR26FVRFXVWWA/"
"11","Las claves del día","Dónde poner atención: las claves de hoy, marte 28 de enero de 2025Exclusivo suscriptor","https://www.latercera.com/servicios/noticia/donde-poner-atencion-las-claves-de-hoy-marte-28-de-enero-de-2025/YO5BWZUPWZDMHBZMQW3VOSQPNE/"
"12","Guerra Medio Oriente","Trump insiste en su idea de “limpiar” Gaza para que los palestinos estén “donde puedan vivir sin interrupciones”","https://www.latercera.com/mundo/noticia/trump-insiste-en-su-idea-de-limpiar-gaza-para-que-los-palestinos-esten-donde-puedan-vivir-sin-interrupciones/EEXYTWVIWZF3BJRANCSMHC7DZA/"
"13","Donald Trump","Trump firma decretos contra la diversidad en el ejército y reincorpora a los soldados no vacunados","https://www.latercera.com/mundo/noticia/trump-firma-decretos-contra-la-diversidad-en-el-ejercito-y-reincorpora-a-los-soldados-no-vacunados/XMF7W62IWNG7VEH77CTXW2IDIA/"
"14","Reforma de pensiones","Ejecutivo y Chile Vamos valoran aprobación de reforma previsional en el Senado: “No es la reforma de un gobierno, es la reforma de un país”","https://www.latercera.com/politica/noticia/ejecutivo-y-chile-vamos-valoran-aprobacion-de-reforma-previsional-en-el-senado-no-es-la-reforma-de-un-gobierno-es-la-reforma-de-un-pais/5HNXE4GB5REMLIEYGAW7HS35YM/"
"15","Rodolfo Carter","“No se ve feo, es absolutamente transparente”: Rodolfo Carter defiende contratación de su madre en La Florida","https://www.latercera.com/politica/noticia/no-se-ve-feo-es-absolutamente-transparente-rodolfo-carter-defiende-contratacion-de-su-madre-en-la-florida/DCGC6GM3J5CDHJSCABDFRSUWKI/"
