"","seccion","titular","enlace_noticia"
"1","Fútbol","Arquero del Getafe sorprende y le da con todo a Manuel Pellegrini en la victoria del Betis","https://www.latercera.com/el-deportivo/noticia/arquero-del-getafe-sorprende-y-le-da-con-todo-a-manuel-pellegrini-en-la-victoria-del-betis/53Y3YQDJKNDI3DUVZAVR5Y5X7Y/"
"2","Ísrael","Netanyahu advierte de que están preparados para retomar de inmediato el “combate intensivo” en Gaza","https://www.latercera.com/mundo/noticia/netanyahu-advierte-de-que-estan-preparados-para-retomar-de-inmediato-el-combate-intensivo-en-gaza/TIAEZCVKQBF5FFEWTIK5JTPVEI/"
"3","Antofagasta","Dejan en prisión preventiva a sujeto que cultivaba hongos alucinógenos en su domicilio en Antofagasta","https://www.latercera.com/nacional/noticia/dejan-en-prision-preventiva-a-sujeto-que-cultivaba-hongos-alucinogenos-en-su-domicilio-en-antofagasta/RBACPT46FNG4XN6UTHCW7OPLZY/"
"4","Música","Festival de Viña 2025: revisa la parrilla de artistas confirmados por día","https://www.latercera.com/servicios/noticia/festival-de-vina-2025-revisa-la-parrilla-de-artistas-confirmados-por-dia/4OJFJI5AQRG25A7N7SQ3OX2VTA/"
"5","Obituario","Fallece Ignacio Hernández, uno de los más insignes relatores del fútbol chileno","https://www.latercera.com/el-deportivo/noticia/fallece-ignacio-hernandez-uno-de-los-mas-insignes-relatores-del-futbol-chileno/LWBZ36ZLBVBCHDUOQ2C3TER5G4/"
"6","Ricardo Lagos Weber","“Es una decisión que no es simple”: oficialismo respalda dichos de Lagos Weber sobre una eventual candidatura de Bachelet","https://www.latercera.com/politica/noticia/es-una-decision-que-no-es-simple-oficialismo-respalda-dichos-de-lagos-weber-sobre-una-eventual-candidatura-de-bachelet/NM5FFBORJVETROSLNEK37UTH6U/"
"7","Festival de Viña","Revisa el horario de hoy del Festival de Viña 2025","https://www.latercera.com/servicios/noticia/revisa-el-horario-de-hoy-del-festival-de-vina-2025/J2NB3GDEGVFJNO7ZRSR7Y5LKHM/"
"8","Alemania","Trump felicita a Alemania por “una nueva victoria” conservadora","https://www.latercera.com/mundo/noticia/trump-felicita-a-alemania-por-una-nueva-victoria-conservadora/DN6SJ6AHV5GDFLXKUA7E3OJF7Y/"
"9","Festival de Viña","Festival de Viña 2025: todo lo que debes saber de la parrilla, horarios, transmisión y más","https://www.latercera.com/servicios/noticia/festival-de-vina-2025-todo-lo-que-debes-saber-de-la-parrilla-horarios-transmision-y-mas/PKNTPYCDXBEJ3GCDALUTW4XJGE/"
"10","Fútbol","Carlos Palacios sufre un nuevo problema de salud y enciende las alarmas en Boca Juniors","https://www.latercera.com/el-deportivo/noticia/carlos-palacios-sufre-un-nuevo-problema-de-salud-y-enciende-las-alarmas-en-boca-juniors/TCT3YS4MAJGDHIVKFWZPKXYXBY/"
"11","Fútbol","Vuelve al gol después de tres meses: Vinícius resurge y comanda el triunfo del Real Madrid ante el Girona","https://www.latercera.com/el-deportivo/noticia/vuelve-al-gol-despues-de-tres-meses-vinicius-resurge-y-comanda-el-triunfo-del-real-madrid-ante-el-girona/H46KGGUUQBFU5PJIERZMROMNDY/"
"12","Sismo","Temblor hoy, domingo 23 de febrero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-domingo-23-de-febrero-en-chile-consulta-epicentro-y-magnitud-clone/EOO3NX3I6ZC7TICIGEKWVBANXI/"
"13","Festival de Viña 2025","Myriam Hernández en la previa a Viña: “Hay momentos difíciles, donde se aprende mucho y te vuelves a levantar”","https://www.latercera.com/culto/2025/02/23/myriam-hernandez-en-la-previa-a-vina-hay-momentos-dificiles-donde-se-aprende-mucho-y-te-vuelves-a-levantar/"
"14","Alemania","Conservadores ganan elecciones en Alemania y ultraderechista AfD queda segunda","https://www.latercera.com/mundo/noticia/conservadores-ganan-elecciones-en-alemania-y-ultraderechista-afd-queda-segunda/JOLIIOQRW5AW3LS7BGHIECALNM/"
"15","Fernando Chomalí","Cardenal Chomalí encabeza misa por la salud del Papa Francisco y señala que es “una frivolidad” discutir por un eventual sucesor","https://www.latercera.com/nacional/noticia/cardenal-chomali-encabeza-misa-por-la-salud-del-papa-francisco-y-senala-que-es-una-frivolidad-discutir-por-un-eventual-sucesor/UNO7NLM2BFFDLO6TY26XXBHSLE/"
