"","seccion","titular","enlace_noticia"
"1","Monedas","El dólar sostiene su caída en medio del dato del IPC de enero y tras señales desde Estados Unidos","https://www.latercera.com/pulso/noticia/el-valor-del-dolar-en-chile-hoy-07-de-febrero-del-2025/3UY3L3LFL5EEHCCDV7MKWPMJEA/"
"2","Agricultura","Funcionarios del SAG convocan a paro nacional en rechazo a los recursos recibidos por el Presupuesto 2025","https://www.latercera.com/pulso/noticia/funcionarios-del-sag-convocan-a-paro-nacional-en-rechazo-a-los-recursos-recibidos-por-el-presupuesto-2025/HH63OTEMWNGBJFZIHI4VYJDHCY/"
"3","Daniel Jadue","La reunión en que Jadue y MEO hablaron de las presidenciales y de la posibilidad de un proyecto de “unidad”","https://www.latercera.com/politica/noticia/la-reunion-en-que-jadue-y-meo-hablaron-de-las-presidenciales-y-de-la-posibilidad-de-un-proyecto-de-unidad/IYBH26L3DZB2TMSYMGQDHJDGKY/"
"4","Covid-19","A 1.829 días de decretarse la primera alerta sanitaria por Covid-19 en el país: cuántos casos se registran hoy en Chile","https://www.latercera.com/nacional/noticia/a-1829-dias-de-decretarse-la-primera-alerta-sanitaria-por-covid-19-en-el-pais-cuantos-casos-se-registran-hoy-en-chile/B7A4BTGZDFAJNJLVHCBWNLZCAU/"
"5","Fútbol","Napoli vs. Udinese: a qué hora y dónde ver el partido por la liga italiana","https://www.latercera.com/el-deportivo/noticia/napoli-vs-udinese-a-que-hora-y-donde-ver-el-partido-por-la-liga-italiana/4DSL7GUWDVDL5I4JUB73RBLEBI/"
"6","Seguridad","¿La tercera es la vencida? Plan Calles Sin Violencia parte con su “actualización definitiva” y expertos valoran cambiosExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/la-tercera-es-la-vencida-plan-calles-sin-violencia-parte-con-su-actualizacion-definitiva-y-expertos-valoran-cambios/NV2PXQEK4NB2VPFOSJJ3QOGYZY/"
"7","Fiscalía","Los secretos que esconde la querella en la que Hermosilla acusa a Villalobos de traición, manipulación y ser la culpable de que lo “condenaran anticipadamente”Exclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/los-secretos-que-esconde-la-querella-en-la-que-hermosilla-acusa-a-villalobos-de-traicion-manipulacion-y-ser-la-culpable-de-que-lo-condenaran-anticipadamente/3KS4DC45BFCEDDAVOECRIS6VHE/"
"8","Julia Chuñil","A tres meses de la desaparición de Julia Chuñil: convocan a manifestación en Santiago y familia pide reunión con Boric","https://www.latercera.com/nacional/noticia/a-tres-meses-de-la-desaparicion-de-julia-chunil-convocan-a-manifestacion-en-santiago-y-familia-pide-reunion-con-boric/XS6PVRNGNNGGNJPEGCFX7HOU4A/"
"9","Premios Caleuche","El duro quiebre en el mundo actoral tras la defensa de Gonzalo Valenzuela a Roberto Farías en los premios CaleucheExclusivo suscriptor","https://www.latercera.com/culto/2025/02/07/el-duro-quiebre-en-el-mundo-actoral-tras-la-defensa-de-gonzalo-valenzuela-a-roberto-farias-en-los-premios-caleuche/"
"10","Bar Santo Remedio","El revés de Bellolio en el Concejo Municipal de Providencia por la patente de alcoholes del Santo RemedioExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/concejo-de-providencia-se-rebela-vota-en-contra-de-bellolio-y-vuelve-a-rechazar-la-patente-de-alcoholes-al-santo-remedio/RWDFBYTB3ZDOPHILY62AFMUK3M/"
"11","Partido Liberal","“Alerta de trabajo”: Partido Liberal ofrece remuneración a captadores de militantesExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/alerta-de-trabajo-partido-liberal-ofrece-remuneracion-a-captadores-de-militantes/KGX5HHFOQNFIPL64TRAPIM2VX4/"
"12","Ola de calor","Se avecina una ola de calor extrema con hasta 40 grados: sus riesgos, cómo identificar los golpes de calor y qué hacer Exclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/se-avecina-una-ola-de-calor-extrema-con-hasta-40-grados-sus-riesgos-como-identificar-los-golpes-de-calor-y-que-hacer/GUTLQIOGIJFSLC4RJAWGU36MXU/"
"13","Educación","¿Cumplir o no con la suspensión de la selectividad aleatoria comprometida en el Presupuesto? El nudo que se viene con el SAEExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/cumplir-o-no-con-la-suspension-de-la-seleccion-aleatoria-comprometida-en-el-presupuesto-el-nudo-que-se-viene-con-el-sae/CH6ROG5NE5BVJELRCRXRAQI2ZQ/"
"14","Partido Nacional Libertario","Tres exmilitantes republicanos: quiénes son los integrantes de la directiva del partido libertario de KaiserExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/tres-exmilitantes-republicanos-quienes-son-los-integrantes-de-la-directiva-del-partido-libertario-de-kaiser/SK6U4GG6V5BIPBN374BFZZ7DRM/"
"15","Chile","Columna de Natalia Piergentili: El futuro en jaqueExclusivo suscriptor","https://www.latercera.com/opinion/noticia/columna-de-natalia-piergentili-el-futuro-en-jaque/BYH567O43RDHRDTJYIDEOOSFYM/"
