"","seccion","titular","enlace_noticia"
"1","Estados Unidos","Rescatan a un alce de morir congelado tras caer a un lago en Nueva York","https://www.latercera.com/la-tercera-tv/noticia/rescatan-a-un-alce-de-morir-congelado-tras-caer-a-un-lago-en-nueva-york/ME4KGK6QQREMHOZINUGHRPU3BI/"
"2","lt-board","Los imperdibles del verano: referentes de la academia recomiendan series, libros y documentales","https://www.latercera.com/lt-board/noticia/los-imperdibles-del-verano-referentes-de-la-academia-recomiendan-series-libros-y-documentales/UNLOJERLCRGRFHSWIKZ27GBX3A/"
"3","lt-board","¿Ha logrado la PAES emparejar la cancha en el acceso a la universidad? Revive lo nuevo de A BORDO","https://www.latercera.com/lt-board/noticia/ha-logrado-la-paes-emparejar-la-cancha-en-el-acceso-a-la-universidad-revive-lo-nuevo-de-a-bordo/7R2VZAPNSVBLNL5QJRM2KJJA3U/"
"4","Pensiones","Diputada Yeomans (FA) y 1,5% del préstamo reembolsable: “Yo apostaría a que no se devuelva” a las cuentas individualesExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/diputada-yeomans-fa-y-15-del-prestamo-reembolsable-yo-apostaria-a-que-no-se-devuelva-a-las-cuentas-individuales/NGV4MF5DCZDFHOWJ3JIDKJZOBM/"
"5","Fútbol","Universidad Católica vs. Everton: a qué hora y dónde ver el partido por la Copa Chile","https://www.latercera.com/el-deportivo/noticia/universidad-catolica-vs-everton-a-que-hora-y-donde-ver-el-partido-por-la-copa-chile/3EYJFD7X5JBYJOJG73NFSVLJKU/"
"6","Seguridad","El duro llamado de Orrego a los jueces por mujer que mantenía 27 causas previas al ser detenida por el asesinato de un adulto mayor","https://www.latercera.com/nacional/noticia/el-duro-llamado-de-orrego-a-los-jueces-por-mujer-que-mantenia-27-causas-previas-al-ser-detenida-por-el-asesinato-de-un-adulto-mayor/XSQC4NITLJBIHGE2NB6EHIB33Q/"
"7","Mercados","IPSA sigue avanzando y el S&P 500 trepa a nuevo récord","https://www.latercera.com/pulso/noticia/sector-del-lujo-y-comentarios-de-trump-impulsan-las-bolsas-europeas-a-maximos-historicos/TAIXEDP6GNGQNLMWDANAN2ZDPY/"
"8","Retail","Abc vs. Fashion’s Park: el millonario conflicto por la devolución de tiendasExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/abc-vs-fashions-park-el-millonario-conflicto-por-la-devolucion-de-tiendas/MRZA37FALRGXNCFDHHSSZFPZKE/"
"9","Qué Pasa","Un bloqueo anticiclónico débil y llegada de La Niña: informe anticipa cómo estará el tiempo en invierno","https://www.latercera.com/que-pasa/noticia/un-bloqueo-anticiclonico-debil-y-llegada-de-la-nina-informe-anticipa-como-estara-el-tiempo-en-invierno/T6AQFZZIKVH4PGIZIVBZQ6TA4I/"
"10","Opinión","La columna de Javier Vega: “Los costos laborales de la negociación previsional”Exclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/la-columna-de-javier-vega-los-costos-laborales-de-la-negociacion-previsional/SU2QT4MJIJG4NMET5AU5YA6CHA/"
"11","Negocios","Sigue la guerrilla judicial por Dominga: Andes Iron pide a tribunal suspender efectos de la resolución del Comité de MinistrosExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/sigue-la-guerrilla-judicial-por-dominga-andes-iron-pide-a-tribunal-suspender-efectos-de-la-resolucion-del-comite-de-ministros/FDVUNNEHUZFWFBOZBKURH7RF2I/"
"12","Hub","Anglo American y Ministerio de Obras Públicas firman acuerdo para reutilizar residuos mineros en la construcción de infraestructura vial","https://www.latercera.com/pulso/noticia/anglo-american-y-ministerio-de-obras-publicas-firman-acuerdo-para-reutilizar-residuos-mineros-en-la-construccion-de-infraestructura-vial/XWAHUTNTOFCVPFKTDOLQIS2IHU/"
"13","Remates","Avisos de remates de bienes raíces se trasladan a la web de la Tesorería General de la República","https://www.latercera.com/pulso/noticia/avisos-de-remates-de-bienes-raices-se-trasladan-a-la-web-de-la-tesoreria-general-de-la-republica/WZWCKXRE3BHLNLQWXAETISIC6A/"
"14","Trabajo","Estudio ManpowerGroup: 60% de las empresas en Chile tiene problemas para encontrar talento calificadoExclusivo suscriptor","https://www.latercera.com/pulso-pm/noticia/estudio-manpowergroup-60-de-las-empresas-en-chile-tiene-problemas-para-encontrar-talento-calificado/T3KSOT6VG5FDVPA6I6S2CMVVOU/"
"15","Mercado inmobiliario","Mercado de bodegas cierra 2024 retornando a números “normales” tras el boom del ecommerce durante la pandemiaExclusivo suscriptor","https://www.latercera.com/pulso/noticia/mercado-de-bodegas-cierra-2024-retornando-a-numeros-normales-tras-el-boom-del-ecommerce-durante-la-pandemia/N22U3QNF3NA2REMSPXGN6XIECQ/"
