"","seccion","titular","enlace_noticia"
"1","Viral","Gala de perritos se vuelve viral: Todos fueron adoptados","https://www.latercera.com/la-tercera-tv/noticia/gala-de-perritos-se-vuelve-viral-todos-fueron-adoptados/HU54XFLFCVEW7DOV3ZRUN3GFJU/"
"2","Conaf","Conaf asegura que incendio forestal de Coihueco no supone ningún riesgo para la población cercana","https://www.latercera.com/nacional/noticia/conaf-asegura-que-incendio-forestal-de-coihueco-no-supone-ningun-riesgo-para-la-poblacion-cercana/47SQOAIDZNHC5D2ADND23WPIFY/"
"3","Parricidio","Arresto domiciliario nocturno para padre que dio muerte a su hijo con arma de fuego en Algarrobo","https://www.latercera.com/nacional/noticia/arresto-domiciliario-nocturno-para-padre-que-asesino-a-su-hijo-con-arma-de-fuego-en-algarrobo/ULLMFCPSRRHLDEHNQ72MI3IOU4/"
"4","Brasil","Mujer salvó a su perro de caer desde un edificio con una caja de cartón","https://www.latercera.com/la-tercera-tv/noticia/mujer-salvo-a-su-perro-de-caer-desde-un-edificio-con-una-caja-de-carton/TMF7HYLZJBCXFDUUOS2HD2RWYM/"
"5","Fútbol","Atlético de Madrid golea en Valencia y no se baja de la lucha por el título","https://www.latercera.com/el-deportivo/noticia/atletico-de-madrid-golea-en-valencia-y-no-se-baja-de-la-lucha-por-el-titulo/MKIJVUAH2FHENDFPIM24F432PI/"
"6","Minuto a minuto","En vivo: la UC visita a Coquimbo Unido","https://www.latercera.com/el-deportivo/noticia/en-vivo-la-uc-visita-a-coquimbo-unido/GE2ZSKRFGRFK3IM7RFAKO3E3LU/"
"7","Fútbol","Problemas para la UC: Dirección Regional del Trabajo suspende faenas en la cancha del Claro Arena","https://www.latercera.com/el-deportivo/noticia/problemas-para-la-uc-direccion-regional-del-trabajo-suspende-faenas-en-la-cancha-del-claro-arena/Q3IFE7RGU5DCJJSZPAQX37XLKY/"
"8","Fútbol","De La Cisterna a Belo Horizonte: Iván Román viaja a Brasil para ser refuerzo del Atlético Mineiro","https://www.latercera.com/el-deportivo/noticia/de-la-cisterna-a-belo-horizonte-ivan-roman-viaja-a-brasil-para-ser-refuerzo-del-atletico-mineiro/TQV4PBH325EFNI4MZDGBHEQQ4Q/"
"9","Fabiola Campillai","Los apoyos a Campillai y Crespo tras fallo que ordena a la senadora a borrar publicaciones que “afecten la honra” del excarabinero","https://www.latercera.com/politica/noticia/los-apoyos-a-campillai-y-crespo-tras-fallo-que-ordena-a-la-senadora-a-borrar-publicaciones-que-afecten-la-honra-del-excarabinero/QMQ35SEBOJA7XBRWUKXHHZXMPU/"
"10","Guerra en Medio Oriente","Hamás denuncia la no liberación de los presos de la séptima tanda como una “flagrante violación” del acuerdo","https://www.latercera.com/mundo/noticia/hamas-denuncia-la-no-liberacion-de-los-presos-de-la-septima-tanda-como-una-flagrante-violacion-del-acuerdo/TOL2J7KGJZGHPIN4FYIZAKPDSE/"
"11","Sismo","Temblor hoy, sábado 22 de febrero en Chile: consulta epicentro y magnitud","https://www.latercera.com/servicios/noticia/temblor-hoy-sabado-22-de-febrero-en-chile-consulta-epicentro-y-magnitud/FGPEGR55PNH2HOSQGLRST7A33E/"
"12","Río Mapocho","Parque Mapocho Río inicia su marcha blanca y se prepara para abrir en los próximos días","https://www.latercera.com/nacional/noticia/parque-mapocho-rio-inicia-su-marcha-blanca-y-se-prepara-para-abrir-en-los-proximos-dias/YBG57DE6CZD6DHCCDJTFIG3AFI/"
"13","Club Palestino","Club Palestino cuestiona a Las Condes tras fallo de la Corte Suprema por reubicación de canchas: “Buscan presionar para que les cedan terrenos”","https://www.latercera.com/pulso/noticia/club-palestino-cuestiona-a-las-condes-tras-fallo-de-la-corte-suprema-por-reubicacion-de-canchas-buscan-presionar-para-que-les-cedan-terrenos/TQUUWYWC7VB2BG65MEPR74NAEE/"
"14","Papa Francisco","Con crisis respiratoria y transfusiones de sangre: Vaticano actualiza estado del Papa Francisco","https://www.latercera.com/mundo/noticia/con-crisis-respiratoria-y-transfusiones-de-sangre-vaticano-actualiza-estado-del-papa-francisco/ZLYSWIUAQZHLPMVXFC4VNV7ZW4/"
"15","Guerra Medio Oriente","Netanyahu promete traer de vuelta a los 63 rehenes que aún mantiene secuestrados Hamas","https://www.latercera.com/mundo/noticia/netanyahu-promete-traer-de-vuelta-a-los-63-rehenes-que-aun-mantiene-secuestrados-hamas/JED34XNX5RA6FPA4ZY6ZCFMUB4/"
