"","seccion","titular","enlace_noticia"
"1","Ronald Ojeda","Cordero respalda hipótesis de móvil político en caso Ojeda y no descarta concurrir a la Corte Penal Internacional","https://www.latercera.com/nacional/noticia/cordero-respalda-hipotesis-de-movil-politico-en-caso-ojeda-y-no-descarta-concurrir-a-la-corte-penal-internacional/KFHYKSQUNVDWJNNRHL453Q4DFM/"
"2","EE.UU.","El impactante registro del choque entre un helicóptero militar de EE.UU. y un avión comercial en Washington DC","https://www.latercera.com/la-tercera-tv/noticia/el-impactante-registro-del-choque-entre-un-helicoptero-militar-de-eeuu-y-un-avion-comercial-en-washington-dc/DOFERQDGKBABPM6JS2QYX33GZQ/"
"3","Educación","Quién es Juan Carlos de la Llera: el reconocido ingeniero antisísmico que es el nuevo rector UCExclusivo suscriptor","https://www.latercera.com/nacional/noticia/quien-es-juan-carlos-de-la-llera-el-reconocido-ingeniero-antisismico-que-es-el-nuevo-rector-uc/NWR5PAGBHFCW3HVVKKTPTIIAWY/"
"4","Música","Simply Red en Chile: estos son los precios de la venta de entradas","https://www.latercera.com/servicios/noticia/simply-red-en-chile-estos-son-los-precios-de-la-venta-de-entradas/7LAHILZKWNBEXMKQMXVBPHWNZQ/"
"5","Benjamin Walker","Benjamín Walker debuta en el Teatro Oriente para celebrar sus 10 años de carrera","https://www.latercera.com/culto/2025/01/30/benjamin-walker-debuta-en-el-teatro-oriente-para-celebrar-sus-10-anos-de-carrera/"
"6","Lautaro Carmona","Carmona (PC) pone en duda tesis de fiscalía: “No creo” que Maduro esté detrás del crimen de Ronald Ojeda","https://www.latercera.com/politica/noticia/carmona-pc-afirma-no-creo-que-maduro-este-detras-del-crimen-de-ronald-ojeda/OPAJ622MHRBHXG62K7QZDXM5O4/"
"7","Segpres","Elizalde tras aprobación de reforma de pensiones: “Los que participamos de este acuerdo estamos pensando en Chile”","https://www.latercera.com/nacional/noticia/elizalde-tras-aprobacion-de-reforma-de-pensiones-los-que-participamos-de-este-acuerdo-estamos-pensando-en-chile/ARWLMI5L6NGXPGEGZCEBIS56TQ/"
"8","Qué Pasa","La IA crear una nueva proteína, algo que a la Naturaleza le habría tomado 500 millones de años","https://www.latercera.com/que-pasa/noticia/la-ia-crear-una-nueva-proteina-algo-que-a-la-naturaleza-le-habria-tomado-500-millones-de-anos/D5G5Z6EA2BG5XB7ANMIT7VQFS4/"
"9","Cine","Gene Hackman cumple 95: la serena vida de una leyenda","https://www.latercera.com/culto/2025/01/30/gene-hackman-cumple-95-la-serena-vida-de-una-leyenda/"
"10","Educación","Juan Carlos de la Llera es el nuevo rector de la Universidad Católica","https://www.latercera.com/nacional/noticia/juan-carlos-de-la-llera-es-el-nuevo-rector-de-la-universidad-catolica/MZXS2NPUKNBCTL6N4JB4JMBVIU/"
"11","Monedas","El dólar se inclina por las pérdidas a la espera de más señales desde Estados Unidos","https://www.latercera.com/pulso/noticia/el-valor-del-dolar-en-chile-el-30-de-enero-del-2025/SKWJABJQ45FI7LTTDVP7FOCU3U/"
"12","Reforma de pensiones","Gobierno refuerza idea de proyecto de “inversor estatal” tras despacho de reforma de pensiones","https://www.latercera.com/politica/noticia/gobierno-refuerza-idea-de-proyecto-de-inversor-estatal-tras-despacho-de-reforma-de-pensiones/MI6GAJXHF5ACZBMP2R4MI5MK2I/"
"13","Negocios","Parque Arauco extiende su presencia en Perú con la compra del centro comercial Minka del Grupo Centenario","https://www.latercera.com/pulso/noticia/parque-arauco-extiende-su-presencia-en-peru-con-la-compra-del-centro-comercial-minka-del-grupo-centenario/A7RXSJP3CVBPDD3JFF5AVZP6AE/"
"14","Copihue de Oro","Copihue de Oro 2025: Cris MJ, Fran Maira y El Día Menos Pensado fueron galardonados en los premios de La Cuarta","https://www.latercera.com/culto/2025/01/30/copihue-de-oro-2025-cris-mj-fran-maira-y-el-dia-menos-pensado-fueron-galardonados-en-los-premios-de-la-cuarta/"
"15","Fútbol","El golazo de Luciano Cabral que lo transforma en el héroe de Independiente contra Talleres","https://www.latercera.com/el-deportivo/noticia/el-golazo-de-luciano-cabral-que-lo-transforma-en-el-heroe-de-independiente-contra-talleres/5QSDB3A7AFHP3GGZQ2KUFWAXR4/"
