"","seccion","titular","enlace_noticia"
"1","Festival de Viña 2025","Artistas venezolanos reaccionan a la rutina de George Harris: “Ayer triunfó la xenofobia y la división”","https://www.latercera.com/culto/2025/02/24/artistas-venezolanos-reaccionan-a-la-rutina-de-george-harris-ayer-triunfo-la-xenofobia-y-la-division/"
"2","Victor Wembanyama","La preocupante lesión que mantendrá a Victor Wembanyama fuera toda la temporada de la NBA: “Podría haberlo matado”","https://www.latercera.com/el-deportivo/noticia/la-preocupante-lesion-que-mantendra-a-victor-wembanyama-fuera-toda-la-temporada-de-la-nba-podria-haberlo-matado/DO7VFMZN7JBE5CKKQMC6RDYTVU/"
"3","eVolt","Los autos voladores están cada día más cerca. Aquí está la prueba","https://www.latercera.com/mtonline/noticia/los-autos-voladores-estan-cada-dia-mas-cerca-aqui-esta-la-prueba/6CFGHU6PMZETLOIU6Y4JKWESCQ/"
"4","Nueva Zelanda","“¡Todos deben ir!”: La campaña turística de Nueva Zelanda que generó burlasExclusivo suscriptor","https://www.latercera.com/mundo/noticia/todos-deben-ir-la-campana-turistica-de-nueva-zelanda-que-genero-burlas/DFGPYTFMUNGCRBLSOQJIUP453M/"
"5","Festival de Viña 2025","Con Quilapayún: la otra noche en que el publico del Festival de Viña se dividió en una batalla sin tregua","https://www.latercera.com/culto/2025/02/24/con-quilapayun-la-otra-noche-en-que-el-publico-del-festival-de-vina-se-dividio-en-una-batalla-sin-tregua/"
"6","NASA","El asombroso registro de un astronauta de la NASA que muestra la singular forma de vestirse","https://www.latercera.com/la-tercera-tv/noticia/el-asombroso-registro-de-un-astronauta-de-la-nasa-que-muestra-la-singular-forma-de-vestirse/MQ6RQJZ2WNB55IG57LIJ7JDYUQ/"
"7","Incendios","Peñaflor: Solicitan evacuar sectores en Camino a Melipilla por incendio de rápido avance y por su cercanía con viviendas","https://www.latercera.com/nacional/noticia/penaflor-solicitan-evacuar-sectores-en-camino-a-melipilla-por-incendio-de-rapido-avance-y-por-su-cercania-con-viviendas/GRVC5WFUURC3BAZTW5NS3J27IM/"
"8","Golf","“Todos somos George Harris”: golfista del PGA Tour defiende al comediante venezolano tras su fallida rutina en Viña 2025","https://www.latercera.com/el-deportivo/noticia/todos-somos-george-harris-golfista-del-pga-tour-defiende-al-comediante-venezolano-tras-su-fallida-rutina-en-vina-2025/CUYZLYR5YNDT3MNBHFM7Q3NHX4/"
"9","Festival de Viña 2025","Para olvidar a George Harris: tres comediantes venezolanos que triunfan en Chile","https://www.latercera.com/culto/2025/02/24/para-olvidar-a-george-harris-tres-comediantes-venezolanos-que-triunfan-en-chile/"
"10","Guerra en Ucrania","Ucrania conmemora tres años de guerra con respaldo de líderes occidentales y EE.UU. se alinea con Rusia en votación de la ONUExclusivo suscriptor","https://www.latercera.com/mundo/noticia/ucrania-conmemora-tres-anos-de-guerra-con-respaldo-de-lideres-occidentales-y-eeuu-se-alinea-con-rusia-en-votacion-de-la-onu/K34ZF4GFJNAXTMQFJBXN2SIRQA/"
"11","Aduanas","Hombre intentó ingresar por Aduanas con 46 kilos de marihuana ocultos en su camioneta","https://www.latercera.com/nacional/noticia/hombre-intento-ingresar-por-aduanas-con-46-kilos-de-marihuana-ocultos-en-su-camioneta/HXCRFPK3LJHZRAPQQ6XNHUFDSY/"
"12","Pádel","El 5º Selectivo Fepachi en Viña del Mar abrió la carrera por el Wild Card al Premier Padel Chile","https://www.latercera.com/el-deportivo/noticia/el-5-selectivo-fepachi-en-vina-del-mar-abrio-la-carrera-por-el-wild-card-al-premier-padel-chile/62YYCFEOMRDFPPZ7Y624SN6WO4/"
"13","Money Talks","Preppy Beach: el duro camino de emprender","https://www.latercera.com/la-tercera-tv/noticia/preppy-beach-el-duro-camino-de-emprender/TDP4HRNL5NGPLBXJPUDKBKI4CM/"
"14","Festival de Viña","Revisa el horario de hoy del Festival de Viña 2025","https://www.latercera.com/servicios/noticia/revisa-el-horario-de-hoy-del-festival-de-vina-2025/J2NB3GDEGVFJNO7ZRSR7Y5LKHM/"
"15","Festival de Viña 2025","“Me fue mal dos veces”: Ricardo Meruane “consuela” a George Harris tras su fracaso en Viña","https://www.latercera.com/culto/2025/02/24/me-fue-mal-dos-veces-ricardo-meruane-consuela-a-george-harris-tras-su-fracaso-en-vina/"
