"","seccion","titular","enlace_noticia"
"1","Voces","Políticas de la renegación","https://www.latercera.com/opinion/noticia/politicas-de-la-renegacion/WL24QVJZWRFCHNKVMAY6EGFSCM/"
"2","Coronavirus","Interactivo: Revisa las cifras de coronavirus por región de acuerdo al último balance del Minsal","https://www.latercera.com/nacional/noticia/interactivo-revisa-las-cifras-de-coronavirus-por-region-de-acuerdo-al-ultimo-balance-del-minsal/KSU5HG7VARFKPMEY6RZ2FAKI7A/"
"3","Fútbol","Chilenas por el mundo: Lara le gana a Araya en España y Rojas anota en Australia","https://www.latercera.com/el-deportivo/noticia/chilenas-por-el-mundo-lara-le-gana-a-araya-en-espana-y-rojas-anota-en-australia/DGADUZISCBBZTMNU7NO25PT3CM/"
"4","Noticias","Más de 37 mil unidades: el mercado automotor chileno abre 2022 con el mejor enero de la historia","https://www.latercera.com/mtonline/noticia/mas-de-37-mil-unidades-el-mercado-automotor-chileno-abre-2022-con-el-mejor-enero-de-la-historia/RZ432YS33ZBCBNN76L53GVOQAA/"
"5","Tecnología","Honor lanzó su primer smarthpone en Chile: Ya llegó el Honor 50","https://www.latercera.com/mouse/honor-lanzo-su-primer-smarthpone-en-chile-ya-llego-el-honor-50/"
"6","Música","Anuncian nominados al Salón de la Fama del Rock & Roll: Eminem y Duran Duran aparecen por primera vez","https://www.latercera.com/culto/2022/02/02/anuncian-nominados-al-salon-de-la-fama-del-rock-roll-eminem-y-duran-duran-aparecen-por-primera-vez/"
"7","Fútbol","Pellegrini y lesión de Bravo. “Hay que hacer un diagnóstico más completo para saber cuánto estará sin jugar”","https://www.latercera.com/el-deportivo/noticia/pellegrini-y-lesion-de-bravo-hay-que-hacer-un-diagnostico-mas-completo-para-saber-cuanto-estara-sin-jugar/A5ZLXVQYRRGX3N5VMSAAC3RAFY/"
"8","Eliminatorias","Dos dedos esguinzados y un lápiz para escribir su historia: la trastienda de la brillante actuación de Brayan Cortés","https://www.latercera.com/el-deportivo/noticia/dos-dedos-esguinzados-y-un-lapiz-para-escribir-su-historia-la-trastienda-de-la-brillante-actuacion-de-brayan-cortes/M44NL7ZGFJHBZH6JFOEIAS6KW4/"
"9","Industria Automotriz","Ventas de autos nuevos siguen imparables y anotan su mejor mes de enero desde que se tiene registros","https://www.latercera.com/pulso/noticia/ventas-de-autos-nuevos-siguen-imparables-y-anotan-su-mejor-mes-de-enero-desde-que-se-tiene-registros/V7HYOJRZ3RBSFMYCX4E3SJTXJA/"
"10","Cambio de Mando","Futura canciller Urrejola informa que Ximena Fuentes desempeñará como agente ante La Haya por caso Silala y subsecretaria de RR.EE.","https://www.latercera.com/politica/noticia/futura-canciller-urrejola-informa-que-ximena-fuentes-desempenara-como-agente-ante-la-haya-por-caso-silala-y-subsecretaria-de-rree/II2EORC6ERFHLOMI26DN5CEKSQ/"
"11","Libros","Con Gastón Soublette y la futura ministra Brodksy: Limache tendrá su primera Feria del Libro","https://www.latercera.com/culto/2022/02/02/con-gaston-soublette-y-la-futura-ministra-brodksy-limache-tendra-su-primera-feria-del-libro/"
"12","Fútbol","Zaldivia anticipa el debut de Colo Colo Colo en el Torneo: “La chapa de favoritos la tenemos siempre”","https://www.latercera.com/el-deportivo/noticia/zaldivia-anticipa-el-debut-de-colo-colo-colo-en-el-torneo-la-chapa-de-favoritos-la-tenemos-siempre/PP4HRYAWNBDIXMNNMQZQWL7FR4/"
"13","Videojuegos","El juego del Suicide Squad habría sido postergado hasta el 2023","https://www.latercera.com/mouse/el-juego-del-suicide-squad-habria-sido-postergado-hasta-el-2023/"
"14","Fútbol","Everton le pone fecha al regreso del portero Franco Torgnascioli","https://www.latercera.com/el-deportivo/noticia/everton-le-pone-fecha-al-regreso-del-portero-franco-torgnascioli/EUTLBWV33NCKFLGOP7IBRMWJL4/"
"15","Salud","Pfizer pidió a la FDA autorizar su vacuna para uso de emergencia en niños de 6 meses a 5 años","https://www.latercera.com/que-pasa/noticia/pfizer-pidio-a-la-fda-autorizar-su-vacuna-para-uso-de-emergencia-en-ninos-de-6-meses-a-5-anos/3O5O533YPNESLEYP65KAD3N2UE/"
